-----Текст із пробілами-----
Буква 'а': 0.07447893261665857
Буква 'б': 0.018844499070396217
Буква 'в': 0.05062616590015127
Буква 'г': 0.022525518138025127
Буква 'д': 0.036041701595627654
Буква 'е': 0.08927312650402289
Буква 'ё': 2.773541288680773e-05
Буква 'ж': 0.0093206568992307
Буква 'з': 0.016348311910583523
Буква 'и': 0.09088489678998433
Буква 'й': 0.009750088348197228
Буква 'к': 0.026075962621389177
Буква 'л': 0.04453310081292807
Буква 'м': 0.03288952517596405
Буква 'н': 0.05593360204481669
Буква 'о': 0.11117039079508391
Буква 'п': 0.026165401537102815
Буква 'р': 0.040774173282133966
Буква 'с': 0.05670583073171005
Буква 'т': 0.057480240855572046
Буква 'у': 0.026616335721902935
Буква 'ф': 0.0018183835302755405
Буква 'х': 0.011038694328949475
Буква 'ц': 0.004835622491737028
Буква 'ч': 0.01027425648837263
Буква 'ш': 0.00785036838237723
Буква 'щ': 0.003696600760261947
Буква 'ъ': 0.00014272830451862853
Буква 'ы': 0.019256167389761082
Буква 'ь': 0.015593223085586498
Буква 'э': 0.0010096936826208655
Буква 'ю': 0.007304385872515577
Буква 'я': 0.020713678918655463

Ентропія монограм: 4.433878685419471

Біграмма 'аа': 0.0006622506095311961
Біграмма 'аб': 0.001020426699480388
Біграмма 'ав': 0.0058808801891106575
Біграмма 'аг': 0.0015286655393531663
Біграмма 'ад': 0.0031343369635355414
Біграмма 'ае': 0.0018757843740448308
Біграмма 'аё': 3.9490197348312227e-07
Біграмма 'аж': 0.0013868957308727254
Біграмма 'аз': 0.004535054263480176
Біграмма 'аи': 0.0014749588709594616
Біграмма 'ай': 0.0012617118052785758
Біграмма 'ак': 0.00504526761322037
Біграмма 'ал': 0.009772639137786827
Біграмма 'ам': 0.005646308416861682
Біграмма 'ан': 0.00458994563779433
Біграмма 'ао': 0.0002780109893321181
Біграмма 'ап': 0.0009801466981851094
Біграмма 'ар': 0.005242718599961931
Біграмма 'ас': 0.004404736612230746
Біграмма 'ат': 0.004514519360859054
Біграмма 'ау': 0.0002531321650026814
Біграмма 'аф': 0.0005086337418462615
Біграмма 'ах': 0.0016475310333715861
Біграмма 'ац': 3.3566667746065395e-05
Біграмма 'ач': 0.0009126184607194956
Біграмма 'аш': 0.0016968937800569764
Біграмма 'ащ': 0.000345539226797732
Біграмма 'аэ': 3.9490197348312227e-07
Біграмма 'аю': 0.0014161184769104765
Біграмма 'ая': 0.001014108267904658
Біграмма 'ба': 0.0006571168838759155
