-----Текст без пробілів-----
Буква 'а': 0.07447893261665857
Буква 'б': 0.018844499070396217
Буква 'в': 0.05062616590015127
Буква 'г': 0.022525518138025127
Буква 'д': 0.036041701595627654
Буква 'е': 0.08927312650402289
Буква 'ё': 2.773541288680773e-05
Буква 'ж': 0.0093206568992307
Буква 'з': 0.016348311910583523
Буква 'и': 0.09088489678998433
Буква 'й': 0.009750088348197228
Буква 'к': 0.026075962621389177
Буква 'л': 0.04453310081292807
Буква 'м': 0.03288952517596405
Буква 'н': 0.05593360204481669
Буква 'о': 0.11117039079508391
Буква 'п': 0.026165401537102815
Буква 'р': 0.040774173282133966
Буква 'с': 0.05670583073171005
Буква 'т': 0.057480240855572046
Буква 'у': 0.026616335721902935
Буква 'ф': 0.0018183835302755405
Буква 'х': 0.011038694328949475
Буква 'ц': 0.004835622491737028
Буква 'ч': 0.01027425648837263
Буква 'ш': 0.00785036838237723
Буква 'щ': 0.003696600760261947
Буква 'ъ': 0.00014272830451862853
Буква 'ы': 0.019256167389761082
Буква 'ь': 0.015593223085586498
Буква 'э': 0.0010096936826208655
Буква 'ю': 0.007304385872515577
Буква 'я': 0.020713678918655463

Ентропія монограм: 4.433878685419471

Біграмма 'аа': 0.0007494428151751428
Біграмма 'аб': 0.001567763595657276
Біграмма 'ав': 0.006131402728199334
Біграмма 'аг': 0.001868551774429087
Біграмма 'ад': 0.0032050370645601385
Біграмма 'ае': 0.002062863465547431
Біграмма 'аё': 3.159539692981209e-07
Біграмма 'аж': 0.0013870379252187508
Біграмма 'аз': 0.004062536137235238
Біграмма 'аи': 0.0035734393927617475
Біграмма 'ай': 0.0010094729319074962
Біграмма 'ак': 0.004814822538134064
Біграмма 'ал': 0.00800690548995298
Біграмма 'ам': 0.005313081947717201
Біграмма 'ан': 0.005196810887015493
Біграмма 'ао': 0.0011415416910741107
Біграмма 'ап': 0.002056544386161469
Біграмма 'ар': 0.004505187648221906
Біграмма 'ас': 0.005339306127168945
Біграмма 'ат': 0.004626198018463086
Біграмма 'ау': 0.0005298548065129487
Біграмма 'аф': 0.0004445472348024561
Біграмма 'ах': 0.0014852996096704663
Біграмма 'ац': 0.00017882994662273642
Біграмма 'ач': 0.0010069453001531113
Біграмма 'аш': 0.0014142099665783892
Біграмма 'ащ': 0.00027930330885953886
Біграмма 'аэ': 8.846711140347385e-05
Біграмма 'аю': 0.0011484926783986694
Біграмма 'ая': 0.0009756658571925973
Біграмма 'ба': 0.0005320664842980356
Біграмма 'бб': 7.70927685087415e-05
