C:\Users\kysto\PycharmProjects\pythonProject1\venv\Scripts\python.exe C:\Users\kysto\PycharmProjects\pythonProject1\main.py 
-----Текст із пробілами-----
Буква 'а': 0.07447893261665857
Буква 'б': 0.018844499070396217
Буква 'в': 0.05062616590015127
Буква 'г': 0.022525518138025127
Буква 'д': 0.036041701595627654
Буква 'е': 0.08927312650402289
Буква 'ё': 2.773541288680773e-05
Буква 'ж': 0.0093206568992307
Буква 'з': 0.016348311910583523
Буква 'и': 0.09088489678998433
Буква 'й': 0.009750088348197228
Буква 'к': 0.026075962621389177
Буква 'л': 0.04453310081292807
Буква 'м': 0.03288952517596405
Буква 'н': 0.05593360204481669
Буква 'о': 0.11117039079508391
Буква 'п': 0.026165401537102815
Буква 'р': 0.040774173282133966
Буква 'с': 0.05670583073171005
Буква 'т': 0.057480240855572046
Буква 'у': 0.026616335721902935
Буква 'ф': 0.0018183835302755405
Буква 'х': 0.011038694328949475
Буква 'ц': 0.004835622491737028
Буква 'ч': 0.01027425648837263
Буква 'ш': 0.00785036838237723
Буква 'щ': 0.003696600760261947
Буква 'ъ': 0.00014272830451862853
Буква 'ы': 0.019256167389761082
Буква 'ь': 0.015593223085586498
Буква 'э': 0.0010096936826208655
Буква 'ю': 0.007304385872515577
Буква 'я': 0.020713678918655463
Буква ' ': 0.21322829610451452
Ентропія монограм: 4.909277396497351
Біграмма з перетином'аа': 0.00043574547163795864
Біграмма без перетину'аа': 0.00042926065940221647
Біграмма з перетином'аб': 0.0006714169938655248
Біграмма без перетину'аб': 0.0006931088188456593
Біграмма з перетином'ав': 0.0038694821488565773
Біграмма без перетину'ав': 0.003752732667776351
Біграмма з перетином'аг': 0.0010058263093086094
Біграмма без перетину'аг': 0.0009742085887142502
Біграмма з перетином'ад': 0.002062320696714656
Біграмма без перетину'ад': 0.002003723810850299
Біграмма з перетином'ае': 0.0012342224151939796
Біграмма без перетину'ае': 0.0011852871162690043
Біграмма з перетином'аё': 2.598362979355746e-07
Біграмма з перетином'аж': 0.0009125450783497381
Біграмма без перетину'аж': 0.0008940393402679733
Біграмма з перетином'аз': 0.002983960045492139
Біграмма без перетину'аз': 0.002937847775341411
Біграмма з перетином'аи': 0.0009704885727893712
Біграмма без перетину'аи': 0.0009544199767559919
Біграмма з перетином'ай': 0.000830176971904161
Біграмма без перетину'ай': 0.0008219884967276485
Біграмма з перетином'ак': 0.0033196685424249014
Біграмма без перетину'ак': 0.00325142116483381
Біграмма з перетином'ал': 0.006430168865011666
Біграмма без перетину'ал': 0.006251679177889727
Біграмма з перетином'ам': 0.003715139387882846
Біграмма без перетину'ам': 0.00367154861871683
Біграмма з перетином'ан': 0.003020077290905184
Біграмма без перетину'ан': 0.0029434291787142526
Біграмма з перетином'ао': 0.00018292475374664453
Біграмма без перетину'ао': 0.00018266411038392192
Біграмма з перетином'ап': 0.0006449136914760962
Біграмма без перетину'ап': 0.0006454131900231907
Біграмма з перетином'ар': 0.003449586691392689
Біграмма без перетину'ар': 0.0033919710497681056
Біграмма з перетином'ас': 0.0028982140671733993
Біграмма без перетину'ас': 0.002791209086727651
Біграмма з перетином'ат': 0.002970448557999489
Біграмма без перетину'ат': 0.0029241479670626164
Біграмма з перетином'ау': 0.00016655506697670332
Біграмма без перетину'ау': 0.00015830889566606566
Біграмма з перетином'аф': 0.00033466915174102014
Біграмма без перетину'аф': 0.00033234720083741347
Біграмма з перетином'ах': 0.0010840370349872173
Біграмма без перетину'ах': 0.001063511042679723
Біграмма з перетином'ац': 2.2086085324523842e-05
Біграмма без перетину'ац': 2.1818213184746227e-05
Біграмма з перетином'ач': 0.000600481684529113
Біграмма без перетину'ач': 0.0005657513418835359
Біграмма з перетином'аш': 0.0011165165722291641
Біграмма без перетину'аш': 0.0010909106592373113
Біграмма з перетином'ащ': 0.0002273567606936278
Біграмма без перетину'ащ': 0.00021767473154084028
Біграмма з перетином'аэ': 2.598362979355746e-07
Біграмма без перетину'аэ': 5.074003066220053e-07
Біграмма з перетином'аю': 0.0009317729643969706
Біграмма без перетину'аю': 0.0009036799460937914
Біграмма з перетином'ая': 0.0006672596130985557
Біграмма без перетину'ая': 0.000667738803514559
Біграмма з перетином'а ': 0.014333869375615975
Біграмма без перетину'а ': 0.01399765225878126
Біграмма з перетином'ба': 0.00043236759976479617
Біграмма без перетину'ба': 0.0004064276456042262
Біграмма з перетином'бб': 5.43057862685351e-05
Біграмма без перетину'бб': 5.276963188868855e-05
Біграмма з перетином'бв': 5.352627737472837e-05
Біграмма без перетину'бв': 4.82030291290905e-05
Біграмма з перетином'бг': 1.5590177876134478e-06
Біграмма без перетину'бг': 2.029601226488021e-06
Біграмма з перетином'бд': 1.1432797109165283e-05
Біграмма без перетину'бд': 1.1162806745684116e-05
Біграмма з перетином'бе': 0.0019469533804312607
Біграмма без перетину'бе': 0.001908332553205362
Біграмма з перетином'бж': 2.5983629793557463e-06
Біграмма без перетину'бж': 2.5370015331100266e-06
Біграмма з перетином'бз': 1.2991814896778731e-06
Біграмма без перетину'бз': 1.0148006132440105e-06
Біграмма з перетином'би': 0.0007566432995883934
Біграмма без перетину'би': 0.0007342082436820416
Біграмма з перетином'бк': 1.065328821535856e-05
Біграмма без перетину'бк': 9.6406058258181e-06
Біграмма з перетином'бл': 0.001303598706742778
Біграмма без перетину'бл': 0.0012558157588894632
Біграмма з перетином'бм': 2.910166536878436e-05
Біграмма без перетину'бм': 2.790701686421029e-05
Біграмма з перетином'бн': 0.0002572379349562189
Біграмма без перетину'бн': 0.0002506557514712706
Біграмма з перетином'бо': 0.003696171338133549
Біграмма без перетину'бо': 0.003552309546660659
Біграмма з перетином'бр': 0.001434816037200243
Біграмма без перетину'бр': 0.0013633846238933283
Біграмма з перетином'бс': 4.313282545730539e-05
Біграмма без перетину'бс': 4.566602759598048e-05
Біграмма з перетином'бт': 3.897544469033619e-06
Біграмма без перетину'бт': 5.074003066220053e-06
Біграмма з перетином'бу': 0.0016543777089558036
Біграмма без перетину'бу': 0.0015952665640195846
Біграмма з перетином'бх': 9.094270427745113e-06
Біграмма без перетину'бх': 7.103604292708074e-06
Біграмма з перетином'бц': 3.637708171098045e-06
Біграмма без перетину'бц': 3.0444018397320317e-06
Біграмма з перетином'бч': 1.0393451917422985e-06
Біграмма без перетину'бч': 1.5222009198660159e-06
Біграмма з перетином'бш': 7.795088938067239e-06
Біграмма без перетину'бш': 7.103604292708074e-06
Біграмма з перетином'бщ': 6.9636127846734e-05
Біграмма без перетину'бщ': 6.69768404741047e-05
Біграмма з перетином'бъ': 7.58721989971878e-05
Біграмма без перетину'бъ': 6.900644170059272e-05
Біграмма з перетином'бы': 0.002744650815093475
Біграмма без перетину'бы': 0.002673492215591346
Біграмма з перетином'бь': 4.521151584078998e-05
Біграмма без перетину'бь': 4.211422544962644e-05
Біграмма з перетином'бя': 0.0007860048012551132
Біграмма без перетину'бя': 0.0007514598541071898
Біграмма з перетином'б ': 0.00026373384240460825
Біграмма без перетину'б ': 0.00026232595852357675
Біграмма з перетином'ва': 0.00499197495593826
Біграмма без перетину'ва': 0.0048959055585957294
Біграмма з перетином'вб': 3.37787187316247e-06
Біграмма без перетину'вб': 5.074003066220053e-06
Біграмма з перетином'вв': 8.39271242331906e-05
Біграмма без перетину'вв': 7.357304446019077e-05
Біграмма з перетином'вг': 2.338526681420172e-06
Біграмма без перетину'вг': 4.059202452976042e-06
Біграмма з перетином'вд': 0.0002200813443514317
Біграмма без перетину'вд': 0.00020701932510177817
Біграмма з перетином'ве': 0.00564780177192765
Біграмма без перетину'ве': 0.005491086118263341
Біграмма з перетином'вё': 2.598362979355746e-07
Біграмма з перетином'вз': 0.000407423315162981
Біграмма без перетину'вз': 0.00038816123456583403
Біграмма з перетином'ви': 0.0031809159593273045
Біграмма без перетину'ви': 0.00306926445475651
Біграмма з перетином'вк': 4.053446247794964e-05
Біграмма без перетину'вк': 3.85624233032724e-05
Біграмма з перетином'вл': 0.0008018548154291833
Біграмма без перетину'вл': 0.0008098108893687205
Біграмма з перетином'вм': 0.00013849274679966127
Біграмма без перетину'вм': 0.00013243148002834338
Біграмма з перетином'вн': 0.0005513726242192894
Біграмма без перетину'вн': 0.0005276963188868855
Біграмма з перетином'во': 0.009951990047230444
Біграмма без перетину'во': 0.00966343883961609
Біграмма з перетином'вп': 7.37935086137032e-05
Біграмма без перетину'вп': 7.458784507343478e-05
Біграмма з перетином'вр': 0.0009247573843527102
Біграмма без перетину'вр': 0.0009077391485467675
Біграмма з перетином'вс': 0.0026557868011995085
Біграмма без перетину'вс': 0.0026019487723576433
Біграмма з перетином'вт': 8.574597831873963e-05
Біграмма без перетину'вт': 8.219884967276486e-05
Біграмма з перетином'ву': 0.0009330721458866485
Біграмма без перетину'ву': 0.0009437645703169298
Біграмма з перетином'вф': 1.013361561948741e-05
Біграмма без перетину'вф': 7.103604292708074e-06
Біграмма з перетином'вх': 8.314761533938388e-05
Біграмма без перетину'вх': 7.611004599330079e-05
Біграмма з перетином'вц': 4.988856920363033e-05
Біграмма без перетину'вц': 5.023263035557852e-05
