
 ;0.15544060801852438
î;0.09356314541278407
å;0.06922746540680846
à;0.06784560512408731
è;0.058598345502418256
í;0.05820246120520625
ò;0.05196541614535676
ñ;0.04466769994958077
ë;0.042307333196392224
ð;0.038721965976358984
â;0.03731769714851263
ê;0.028346809583387797
ì;0.02684543705999888
ä;0.0263188362495565
ó;0.023622341319489832
ï;0.023338499747903866
ÿ;0.01740770480476555
û;0.01640305503165207
ü;0.015398405258538589
á;0.014696270844615413
ã;0.014419898788071185
ç;0.014076301096151333
÷;0.012660827995742377
é;0.009157625441168233
æ;0.007977442064573957
õ;0.00735000280106814
ø;0.006240779817370357
þ;0.0047169987488562305
ö;0.0042426845437059995
ý;0.0032006871953838396
ù;0.0026031259920449665
ô;0.0016320890366192974
¸;0.0012810218296577095
ú;0.00020541166364773766
