Символ(и),Кількість,Частота
ил,1770,0.006179239848765723
ья,303,0.0010578020758056576
ьф,25,8.727739899386614e-05
ев,1364,0.0047618548891053365
ге,119,0.00041544041921080284
ни,2376,0.008294844000377038
йп,295,0.0010298733081276206
ет,1772,0.006186222040685232
ро,2802,0.009782050879232517
вд,251,0.0008762650858984161
ве,1913,0.006678466571010637
на,3055,0.010665298157050442
дц,139,0.0004852623384058958
ат,2123,0.007411596722559113
ьс,488,0.001703654828360267
ту,749,0.00261483087385623
ль,1421,0.004960847358811351
по,3282,0.011457776939914748
св,500,0.0017455479798773228
ящ,85,0.0002967431565791449
ае,424,0.0014802246869359697
тс,487,0.0017001637324005124
яв,460,0.0016059041414871371
ал,3058,0.010675771444929706
ен,2831,0.009883292662065403
ти,1378,0.004810730232541902
ну,974,0.003400327464801025
пе,854,0.0029813959496304675
тр,1211,0.004227717207262876
ов,3319,0.011586947490425669
ич,977,0.003410800752680289
ук,463,0.001616377429366401
ву,311,0.0010857308434836948
ле,1662,0.005802201485112221
нд,263,0.0009181582374154718
ао,334,0.0011660260505580518
ли,2822,0.00985187279842761
ко,2944,0.010277786505517677
мк,190,0.0006633082323533827
ом,2083,0.007271952884168927
би,334,0.0011660260505580518
то,3360,0.01173008242477561
ре,1998,0.006975209727589782
ип,1041,0.0036342308941045864
оч,767,0.002677670601131813
ем,1304,0.004552389131520058
ув,361,0.001260285641471427
ша,366,0.0012777411212702003
нх,13,4.53842474768104e-05
че,1139,0.0039763582981605415
го,2369,0.008270406328658756
не,2494,0.008706793323628087
сл,790,0.00275796580820617
уч,362,0.0012637767374311817
ос,2764,0.00964938923276184
ьп,265,0.0009251404293349812
ис,1799,0.006280481631598608
хо,796,0.002778912383964698
жд,257,0.0008972116616569439
ие,726,0.002534535666781873
ыв,465,0.0016233596212859103
ри,1804,0.006297937111397381
оз,635,0.0022168459344442002
да,1447,0.0050516158537649725
яд,288,0.001005435636409338
оп,1096,0.003826241171891092
ан,1880,0.006563260404338734
но,3185,0.011119140631818547
йм,146,0.0005097000101241783
уа,82,0.00028626986869988093
ст,4070,0.014208760556201409
ам,1390,0.004852623384058958
ии,594,0.0020737110000942595
мн,553,0.001930576065744319
ог,1465,0.005114455581040556
ок,965,0.0033689076011632333
ра,2703,0.009436432379216807
тн,581,0.0020283267526174493
ер,2214,0.007729286454896786
ес,2073,0.007237041924571381
ка,2241,0.007823546045810162
за,1842,0.006430598757868057
нн,1006,0.0035120425355131737
ой,1303,0.004548898035560304
те,1936,0.006758761778084994
ми,1218,0.004252154878981159
вы,1023,0.0035713911668290026
мы,266,0.0009286315252947357
се,1014,0.0035399713031912107
лп,247,0.0008623007020593975
кт,300,0.0010473287879263938
ки,1466,0.005117946677000311
