Символ(и),Кількість,Частота
ил,1676,0.004971700463946273
ья,280,0.0008305943495852961
 и,2994,0.008881426723779916
ль,1439,0.004268661675190147
ф ,27,8.009302656715355e-05
ев,952,0.0028240207885900067
ге,122,0.000361901823747879
ни,2272,0.006739679865206402
й ,2735,0.008113126950413517
пе,880,0.0026104393844109306
тр,1170,0.003470697817909987
ов,2715,0.008053798782585997
дв,425,0.0012607235663348244
ен,2464,0.0073092302763506055
ад,735,0.002180310167661402
ца,295,0.000875090475455937
ть,1416,0.004200434282188498
 с,4996,0.014820176323314784
ту,728,0.00215954530892177
по,3262,0.0096764241726687
св,406,0.0012043618068986793
ящ,78,0.00023137985452733248
ае,317,0.0009403514600662102
тс,315,0.0009344186432834581
я ,2865,0.008498760041292405
ва,2161,0.00641040853376366
ле,1609,0.004772951101724076
нт,331,0.000981881177545475
ин,1375,0.004078811538142079
у ,1943,0.00576373150444368
ич,876,0.0025985737508454265
ка,2247,0.006665519655422001
та,2299,0.006819772891773556
ул,710,0.0021061499578770007
ег,812,0.0024087236137973586
да,1497,0.004440713361889958
 о,3088,0.009160269112569265
 в,4764,0.014131969576515538
ел,2043,0.0060603723435812855
ик,944,0.0028002895214589985
ом,1874,0.0055590493254387315
 к,2958,0.008774636021690378
би,296,0.000878056883847313
на,3111,0.009228496505570914
то,3301,0.009792114099932366
ре,2000,0.005932816782752115
ип,395,0.0011717313145935427
оч,616,0.0018273075690876514
ем,1070,0.0031740569787723815
в ,2240,0.006644754796682369
ша,382,0.001133168005505654
нх,6,1.7798450348256345e-05
 н,4150,0.012310594824210638
о ,5321,0.015784259050512003
не,2455,0.007282532600828221
лу,479,0.0014209096194691315
чи,573,0.001699752008258481
ло,1907,0.0056569408023541415
сь,1004,0.0029782740249415618
пр,1925,0.005710336153398911
ои,248,0.0007356692810612623
сх,59,0.0001750180950911874
ож,638,0.0018925685536979246
де,1671,0.004956868421989392
е ,5062,0.015015959277145604
нд,222,0.0006585426628854848
ыв,298,0.0008839897006300651
ст,3946,0.011705447512369923
ор,2243,0.006653654021856497
ии,273,0.0008098294908456637
оз,455,0.0013497158180761062
ти,1286,0.00381480119130961
пи,516,0.0015306667299500457
са,635,0.0018836693285237966
нн,925,0.0027439277620228534
ой,1260,0.0037376745731338324
 м,2232,0.00662102352955136
уа,39,0.00011568992726366624
ри,1761,0.0052238451772132375
ам,1103,0.0032719484556877915
и ,5433,0.01611649679034612
мн,399,0.001183596948159047
ог,1353,0.004013550553531806
ок,676,0.0020052920725702147
ра,2772,0.008222884060894432
тн,438,0.0012992868754227132
ск,1472,0.004366553152105557
аз,943,0.002797323113067622
ан,1444,0.004283493717147027
но,3163,0.00938274974192247
ли,2682,0.007955907305670586
те,1916,0.005683638477876526
ро,2736,0.008116093358804893
ве,1908,0.005659907210745518
ми,1076,0.003191855429120638
ым,443,0.0013141189173795935
ыс,195,0.0005784496363183312
 п,5369,0.015926646653298054
кт,235,0.0006971059719733735
ес,1542,0.004574201739501881
ки,1344,0.003986852878009421
ео,87,0.000258077530049717
тд,76,0.00022544703774458037
им,753,0.0022337055187061712
т ,1691,0.005016196589816913
фа,88,0.00026104393844109304
 р,1373,0.004072878721359327
