Символ(и),Кількість,Частота
и,41170,0.06106351673647614
л,29330,0.04350237905952988
ь,10011,0.014848357203032856
я,10530,0.015618140180594943
 ,101331,0.15029456435326363
ф,1247,0.0018495556320229718
е,46568,0.06906985298480012
в,27170,0.04029865799684374
г,9736,0.014440476049218647
н,34964,0.05185875149803624
й,7131,0.010576729119451332
п,17755,0.02633429049444095
т,33334,0.04944112865906475
р,27246,0.04041138151571603
о,61112,0.09064157480688681
д,17369,0.025761773674905373
а,48228,0.07153197194964225
ц,2950,0.004375452377279685
с,30936,0.045884404997804856
у,16536,0.024526264579897244
щ,1904,0.0028240207885900067
ч,8458,0.012544941087129348
к,20669,0.030656347520675867
м,17585,0.026082145781173984
б,9725,0.014424160803066079
ш,4936,0.00732109590991611
х,5244,0.007777922802188023
ж,5812,0.008620382785338823
ы,11203,0.016616336604292986
з,9557,0.014174982498190491
э,1374,0.0020379225648753515
ю,3095,0.004590516985654449
