  ~ 0.16341132557661034
а ~ 0.06544453093030503
б ~ 0.018474730043668966
в ~ 0.03829124397405547
г ~ 0.014470552331642947
д ~ 0.025749362134812687
е ~ 0.07228923981383496
ж ~ 0.009263602305382647
з ~ 0.013507597995103295
и ~ 0.056325463836047356
й ~ 0.008337011923234312
к ~ 0.03506497870407152
л ~ 0.03725187930297204
м ~ 0.025091588833228002
н ~ 0.05271576598368409
о ~ 0.09449058472778359
п ~ 0.024872944803659962
р ~ 0.03468246672813249
с ~ 0.04195019427097406
т ~ 0.051768922259849456
у ~ 0.023496638175431683
ф ~ 0.0008874646084361613
х ~ 0.0078205517102336
ц ~ 0.0028773554291153755
ч ~ 0.016174134549393065
ш ~ 0.007762553504495551
щ ~ 0.002565269845858261
ы ~ 0.015693117684343384
ь ~ 0.01697782397176316
э ~ 0.002118315419099177
ю ~ 0.004785312276609093
я ~ 0.015387476346168275
