  |     |  à  |  á  |  â  |  ã  |  ä  |  å  |  æ  |  ç  |  è  |  é  |  ê  |  ë  |  ì  |  í  |  î  |  ï  |  ð  |  ñ  |  ò  |  ó  |  ô  |  õ  |  ö  |  ÷  |  ø  |  ù  |  ú  |  û  |  ü  |  ý  |  þ  |  ÿ  |  ¸  |
  |  0  |7603 |26039|62104|22775|28292|20127|9092 |14833|81812|  0  |27302|7622 |25566|53438|38129|54588|11287|66402|30338|14222|1370 |5340 |4789 |15022|1632 | 152 |  0  |  0  |  0  |3006 | 392 |6903 |  0  |
à |55341|1798 |2665 |15144|3924 |8039 |4812 |3530 |11517|5059 |3195 |12970|24762|14355|11842| 944 |2774 |13297|11380|11611| 697 |1292 |4191 | 96  |2356 |4310 | 875 |  0  |  0  |  0  | 17  |3588 |2613 |  1  |
á |1020 |1665 | 210 | 209 |  7  | 46  |7495 | 10  |  6  |2927 |  0  | 41  |5017 | 113 | 995 |14228|  2  |5522 | 167 | 17  |6367 |  0  | 35  | 14  |  5  | 30  | 268 | 292 |10563| 174 |  0  |  0  |3025 |  0  |
â |26649|19236| 31  | 374 | 20  | 863 |21745|  1  |1579 |12528|  0  | 192 |3087 | 549 |2163 |38336| 340 |3570 |10254| 364 |3607 | 40  | 324 | 196 | 312 |2199 |  6  |  0  |9153 |1475 |  1  |  1  |3258 |  1  |
ã |3177 |4336 |  9  | 43  | 29  |4432 |1094 |  0  |  7  |3161 |  0  | 47  |2334 |  1  |1907 |47032| 14  |2740 | 56  | 19  |1742 |  3  |  2  |  0  | 45  | 50  |  0  |  0  |  0  |  0  |  0  |  0  |  2  |  0  |
ä |7302 |21203| 34  |2517 | 16  | 197 |23750|  1  | 60  |10209|  0  | 244 |3179 | 215 |7259 |13863| 133 |3215 | 936 | 301 |8805 |  0  | 39  |2269 | 25  | 287 | 63  | 19  |3001 |4690 |  2  | 10  |1810 |  0  |
å |62099| 288 |8964 |8148 |18972|10772|4793 |3482 |3431 |2218 |9300 |4406 |22703|20890|27019| 596 |2682 |18543|18844|20054| 335 |1095 |3073 |1265 |4047 |3384 |1415 |  0  |  0  |  0  | 19  |2226 |1405 |  0  |
æ | 247 |2593 | 110 | 11  | 90  |4024 |12062| 420 |  0  |7318 |  0  | 89  |  5  |  8  |1616 | 73  |  0  | 213 |  4  |  0  | 803 |  0  |  0  |  0  | 77  |  0  |  0  |  0  |  0  | 143 |  0  |  0  |  1  |  2  |
ç |5888 |15803| 961 |3445 | 624 |2039 |4282 | 49  | 574 |1040 |  0  | 154 |1972 | 645 |4278 |2143 |  7  |3956 |  9  | 11  | 977 |  2  |  0  | 11  |  6  |  2  |  0  | 34  |1573 | 776 |  1  | 36  |1162 |  0  |
è |110108|1531 |4542 |6688 |1196 |6735 |11341| 767 |11804|5992 |4615 |7830 |22737|14788|10416|2702 |1302 |3282 |13852|17085|1851 | 676 |13065|2777 |1480 |2340 |1732 |  0  |  0  |  0  | 18  |1538 |6850 |  0  |
