  |     |  à  |  á  |  â  |  ã  |  ä  |  å  |  æ  |  ç  |  è  |  é  |  ê  |  ë  |  ì  |  í  |  î  |  ï  |  ð  |  ñ  |  ò  |  ó  |  ô  |  õ  |  ö  |  ÷  |  ø  |  ù  |  ú  |  û  |  ü  |  ý  |  þ  |  ÿ  |  ¸  |
  |  0  |3784 |13007|31266|11464|14170|9982 |4615 |7387 |40926|  0  |13713|3856 |12780|26648|19019|27305|5633 |33160|15129|7092 | 675 |2641 |2394 |7446 | 825 | 69  |  0  |  0  |  0  |1494 | 203 |3408 |  0  |
à |27668| 861 |1353 |7709 |1996 |4024 |2422 |1781 |5758 |2488 |1642 |6438 |12448|7161 |5972 | 451 |1375 |6593 |5635 |5851 | 338 | 635 |2094 | 43  |1230 |2190 | 436 |  0  |  0  |  0  |  7  |1780 |1293 |  1  |
á | 521 | 873 | 108 | 114 |  4  | 19  |3712 |  5  |  5  |1501 |  0  | 16  |2562 | 56  | 493 |7160 |  0  |2866 | 84  |  9  |3092 |  0  | 16  |  6  |  3  | 12  | 136 | 143 |5230 | 84  |  0  |  0  |1514 |  0  |
â |13261|9593 | 18  | 183 |  9  | 446 |10761|  0  | 802 |6133 |  0  | 98  |1507 | 254 |1061 |19101| 168 |1761 |5114 | 185 |1760 | 19  | 153 | 95  | 156 |1131 |  2  |  0  |4629 | 722 |  0  |  0  |1597 |  0  |
ã |1592 |2202 |  6  | 21  | 14  |2171 | 560 |  0  |  6  |1637 |  0  | 16  |1137 |  0  | 943 |23436| 10  |1360 | 24  |  7  | 850 |  2  |  2  |  0  | 28  | 19  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |
ä |3636 |10526| 20  |1239 |  8  | 88  |11760|  1  | 31  |5110 |  0  | 124 |1583 | 118 |3666 |7007 | 72  |1610 | 460 | 150 |4409 |  0  | 22  |1139 | 12  | 142 | 37  | 10  |1507 |2309 |  2  |  5  | 931 |  0  |
å |31024| 147 |4441 |4093 |9559 |5338 |2461 |1742 |1694 |1152 |4648 |2217 |11456|10474|13534| 305 |1372 |9315 |9406 |10045| 142 | 527 |1513 | 613 |2001 |1729 | 689 |  0  |  0  |  0  | 10  |1116 | 727 |  0  |
æ | 125 |1336 | 54  |  5  | 53  |1993 |5951 | 192 |  0  |3620 |  0  | 41  |  3  |  2  | 796 | 38  |  0  | 96  |  3  |  0  | 406 |  0  |  0  |  0  | 36  |  0  |  0  |  0  |  0  | 74  |  0  |  0  |  0  |  0  |
ç |2946 |8017 | 483 |1696 | 298 |1042 |2129 | 23  | 294 | 503 |  0  | 86  | 970 | 312 |2139 |1030 |  6  |1953 |  3  |  5  | 484 |  2  |  0  |  4  |  4  |  1  |  0  | 17  | 780 | 358 |  0  | 16  | 595 |  0  |
è |54722| 747 |2274 |3383 | 602 |3490 |5692 | 413 |5943 |2982 |2337 |3900 |11385|7413 |5249 |1364 | 621 |1617 |7052 |8612 | 902 | 335 |6552 |1440 | 734 |1179 | 835 |  0  |  0  |  0  | 11  | 779 |3410 |  0  |
é |11027| 21  | 24  | 75  | 15  | 838 | 26  |  3  |  9  | 324 |  0  | 48  |  6  | 44  | 451 | 43  | 57  |  5  |1172 | 949 | 17  |  2  |  6  | 69  | 11  | 207 |  0  |  0  |  0  |  0  |  4  |  1  | 12  |  0  |
ê |7767 |9958 | 10  | 231 |  3  |  4  | 533 | 168 |  1  |3833 |  0  | 68  | 961 |  3  | 465 |12417| 15  |2686 | 122 |1101 |1508 |  2  | 30  |  1  |  3  | 13  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |
ë |13105|9416 | 82  | 49  | 126 | 76  |8458 | 551 | 11  |15090|  0  | 208 | 156 | 82  | 713 |9219 | 59  |  5  |1308 | 78  |2267 | 14  | 47  |  4  | 152 | 13  |  6  |  0  |1023 |3471 |  3  |2223 |3437 |  0  |
ì |14267|3212 | 29  | 150 | 46  | 43  |7442 |  6  | 26  |6284 |  0  | 180 |2043 | 165 |2904 |6680 | 125 | 215 | 441 | 81  |5327 | 26  |  7  | 20  | 40  |  4  | 42  |  0  |1518 | 344 |  4  |  0  |1126 |  0  |
í |6901 |18861|  2  | 13  | 204 | 63  |16390|  2  | 16  |17387|  0  | 127 |  1  | 19  |3764 |11992| 18  | 29  | 447 | 140 |2306 |  8  | 21  | 375 | 156 |  2  | 190 |  0  |5286 |1641 |  0  | 240 |3010 |  0  |
î |31847| 534 |6165 |14546|9846 |14258|5744 |3151 |2752 |5001 |4498 |3400 |7348 |7755 |9747 | 216 |1693 |11061|15110|15055| 173 | 412 | 629 | 211 |1853 |1543 | 309 |  0  |  0  |  0  | 45  |2518 |1014 |  0  |
ï | 50  |2031 |  0  |  0  |  0  |  0  |2527 |  0  |  0  |1616 |  0  | 86  |1444 |  0  | 126 |19023| 56  |11905| 86  | 347 |1541 | 14  |  0  | 22  | 15  | 60  |  6  |  0  | 264 | 132 |  0  |  0  | 593 |  0  |
ð | 985 |13855| 186 | 466 | 265 |1088 |11533| 374 | 211 |8950 |  0  | 141 | 117 | 137 | 775 |12562| 186 | 105 | 922 |1312 |4233 | 26  | 178 | 71  | 50  | 404 | 26  |  0  |3077 |1038 |  1  | 452 |1653 |  0  |
ñ |4823 |3894 | 95  |5175 | 31  |1024 |9266 | 34  | 11  |3525 |  0  |6987 |6410 | 972 |1265 |4756 |6550 | 607 |1122 |18518|1906 | 56  | 353 | 109 | 279 | 84  |  0  | 55  |3004 |3276 |  0  | 146 |6526 | 38  |
ò |15462|8206 | 40  |7883 | 19  | 353 |9352 |  2  |  8  |6311 |  0  | 573 | 174 | 83  | 985 |18664| 325 |3898 |2446 | 201 |1557 | 23  | 33  | 682 | 177 | 18  | 36  |  0  |3978 |9276 |  2  |  2  | 992 |  0  |
ó |12547| 61  |1007 | 828 |1379 |5987 | 381 |1799 | 438 | 559 | 245 |1634 | 635 |1524 | 286 | 63  |1482 | 373 |3702 |2609 | 14  | 41  | 863 | 36  |1085 |1408 | 621 |  0  |  0  |  0  |  7  |1343 | 96  |  0  |
ô | 316 |1048 |  0  |  6  |  2  |  4  | 322 |  0  |  2  | 525 |  0  |  5  | 29  |  5  | 14  | 205 |  3  | 144 | 52  | 10  | 100 | 54  |  1  |  0  |  0  |  1  |  0  |  0  | 45  | 25  |  0  |  0  | 19  |  0  |
õ |9681 |1057 | 30  | 371 | 35  | 52  | 405 |  6  | 23  |1075 |  0  | 56  | 382 | 42  | 161 |2690 | 90  | 927 | 173 | 80  | 347 |  3  |  8  |  8  | 14  | 11  |  0  |  0  |  0  |  0  |  3  |  1  | 12  |  0  |
ö | 685 |4222 |  0  | 78  |  6  |  1  |1546 |  0  |  0  | 70  |  0  |  2  |  2  |  3  |  1  | 311 | 11  |  6  |  4  |  4  | 334 |  4  |  0  |  1  |  0  |  0  |  0  |  0  | 460 |  0  |  1  |  0  |  0  |  0  |
÷ | 298 |2166 |  0  |  0  |  0  |  0  |4536 |  0  |  3  |2419 |  0  | 69  | 33  | 16  | 753 | 97  |  3  | 216 |  0  |4967 | 488 |  0  |  0  |  5  |  0  | 143 |  0  |  0  |  0  | 438 |  0  |  0  |  0  |  0  |
ø | 191 |1710 | 11  | 17  |  1  |  2  |3593 |  0  |  0  |3255 |  0  | 56  |1080 |  4  | 437 | 212 |  9  |  0  |  8  | 10  | 407 |  3  |  5  | 40  |  0  |  7  |  0  |  0  |  0  |1393 |  0  |  0  |  0  |  0  |
ù | 17  | 846 |  0  | 42  |  0  |  0  |2562 |  0  |  0  |2008 |  0  |  0  |  0  |  0  | 88  |  3  |  0  | 13  |  0  |  1  | 299 |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  | 49  |  0  |  0  |  0  |  0  |
ú |  0  |  0  |  0  |  0  |  0  |  0  | 67  |  0  |  0  |  3  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  | 163 |  0  |
û |11027| 22  | 97  |1325 | 36  | 188 |2039 | 44  | 33  | 182 |2279 | 312 |2479 |1485 |3536 | 37  | 131 | 314 | 997 | 653 |  4  |  1  |2160 |  5  | 248 |1268 | 74  |  0  |  0  |  0  |  0  |  8  |  6  |  0  |
ü |17530| 34  | 33  | 141 | 37  | 219 | 409 |  5  | 107 | 409 |  0  | 486 |  3  | 775 |1194 | 62  | 87  | 11  |1395 | 414 | 13  |  6  |  3  | 168 | 12  | 307 | 30  |  0  |  0  |  0  |  3  | 635 | 878 |  0  |
ý |  1  |  0  |  0  |  0  |  3  |  2  |  0  |  0  |  0  |  0  |  1  |  0  |  7  |  2  |  2  |  0  |  1  |  3  |  1  |1601 |  0  |  0  |  3  |  3  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |
þ |7023 | 31  | 484 | 51  | 60  | 687 | 18  | 43  | 54  | 292 |  0  | 39  |  9  | 19  | 189 | 47  | 59  |  5  | 163 |1117 | 14  |  1  |  0  |  3  | 126 |  1  |1062 |  0  |  0  |  0  |  5  | 52  | 11  |  0  |
ÿ |18996| 51  | 67  | 579 | 117 | 250 | 399 | 125 | 639 | 495 | 171 | 646 |1223 |1037 |1515 | 89  | 129 | 128 | 454 |3446 | 26  |  7  | 339 | 198 | 448 | 17  |1328 |  0  |  0  |  0  |  7  | 254 | 132 |  0  |
