Біграма;Частота
пр;0.006662173244135936
ре;0.005077304301744836
ес;0.0043194093155951695
ст;0.009396713617340006
ту;0.001633224221455336
уп;0.0006473686340028401
пл;0.0006226975732557807
ле;0.0036779617361716237
ен;0.006467765285449107
ни;0.007519739315703722
ие;0.0016608558094920426
е ;0.018996716775235782
 и;0.011653622254481005
и ;0.017476979433216917
 н;0.015922702606152174
на;0.010015463820876256
ак;0.005518422867902259
ка;0.00684671277852394
аз;0.003376974795057498
за;0.004478290946806233
ан;0.0031342115573064332
 г;0.00295855360478737
ге;0.00017960532223859285
иа;7.006581252164885e-05
ал;0.0070796075919761815
ль;0.004651975214465531
ьн;0.0020733559451828767
ны;0.002478948183864534
ый;0.0012384872495023846
й ;0.005997041446395212
 р;0.004968751634457774
ро;0.007104278652723241
ом;0.0051167779989401314
ма;0.0028825667376864267
н ;0.004282896145689522
гл;0.0012710530496885032
ла;0.00540690967332555
ав;0.0026072376997492435
вн;0.0015384873481866276
ые;0.0007055923373659004
 т;0.008824345008008227
те;0.005836186130324385
ем;0.004197040854289754
мы;0.0008042765803541383
ы ;0.004384540915967406
 к;0.008115792143352679
ко;0.008584542297546809
от;0.00678848907516088
то;0.014666452192911905
ор;0.004870067391469537
ог;0.004092435556722222
го;0.007555265643179488
о ;0.023731586753811432
 п;0.015980926309515232
 ж;0.0022500007401318224
же;0.004396383025125995
ер;0.005805594014998031
рт;0.0006276317854051926
тв;0.002072369102752994
ве;0.0049717121617474215
нн;0.0024118428986325325
но;0.009628621588362364
ос;0.005648686068646733
ть;0.00660592322563264
ь ;0.01200000394736972
 л;0.002436513959379592
лю;0.000738158137552019
юб;0.0003039474684037725
бо;0.0019243427382706377
ов;0.007783226244482317
вь;0.0001578947887811805
 с;0.01573026833232511
св;0.001341118862210152
во;0.006166778344334982
об;0.0034381590257102058
од;0.004858225282310948
да;0.00514539642940672
а ;0.017026979285190553
рд;0.00030197378354400776
до;0.003612830135799387
 ч;0.006174673083774041
че;0.003822040730934451
ел;0.005532238661920612
ло;0.0052865148968799
ек;0.001147697745953206
 о;0.011512503787007824
бр;0.0011595398551117945
ра;0.007285857659821599
ам;0.0033848695344965572
мл;8.980266111929643e-05
по;0.009057239821460467
оч;0.002259869164430646
чт;0.004158553999524342
ти;0.003242764224593495
 д;0.00809605529475503
де;0.004229606654475873
ет;0.0056802650264029695
кт;0.0006384870521338987
ив;0.0024305929048002977
ым;0.000863487126147081
м ;0.007420068230285602
сю;0.0002486842923303593
