Á³דנאלא;×אסעמעא
ןנ;0.008009453314176768
נו;0.0061147566851232505
וס;0.00750641551159775
סע;0.011638681234198502
עף;0.0021568932195487134
ףן;0.001497249308619624
ןכ;0.0007498110642215549
כו;0.004818010651588187
ום;0.009617038744588488
םט;0.009360774203652007
טו;0.0024499364677492263
וט;0.0016289408088230933
טם;0.005763579351247332
םא;0.01210138109977826
אך;0.007684376998359195
ךא;0.008288259643436366
אח;0.004573610209769137
חא;0.0054005379182539845
אם;0.005757647301688617
וד;0.004368361295037603
דו;0.00023728198234859333
טא;0.0003345675951115166
אכ;0.008832821792926387
כü;0.0055927363239563445
üם;0.004125147263130295
םû;0.0029802616982983325
ûי;0.0014889444392374232
ינ;0.00035355015369940406
נמ;0.008600285450224765
מל;0.007187271245338892
לא;0.0035829579334637593
םד;0.00010914971188035293
דכ;0.0015399600654423706
כא;0.006669996523818959
אג;0.005178679264758049
גם;0.002481969535366286
ûו;0.001001329965511064
וע;0.007940641539295676
עו;0.007219304312955952
ול;0.006073232338212246
לû;0.0009669240780705178
ûך;0.00039982014025737977
ךמ;0.010672943566039728
מע;0.009747543834880214
עמ;0.018082073464874556
מנ;0.006540677843438975
מד;0.005399351508342242
דמ;0.009229082703448537
מן;0.004253279533598536
וז;0.0011840370919194807
זו;0.0052996930757558324
ונ;0.007641666241536448
נע;0.0007877761813973299
עג;0.0031368678066484037
גו;0.006150348982475539
םם;0.003339743901556451
םמ;0.0119008778246937
מס;0.009346537284711092
עü;0.00794182794920742
üט;0.001428437533738532
טכ;0.006091028486888391
כ‏;0.0008874346139837391
‏ב;0.00044727653672709845
במ;0.0024107849406617083
מג;0.01258899557350462
גü;0.00018982558587887468
üס;0.002194858336724488
סג;0.001981304552610754
גמ;0.007840983106709267
מב;0.00565087040963175
מה;0.007144560488516145
הא;0.0062049238384157155
אט;0.0016847020746750126
טד;0.000996584325864092
נה;0.0003986337303456368
המ;0.004395648723007691
üק;0.0007676072128976995
קו;0.004602084047650968
וכ;0.0070650710244293665
כמ;0.0074874329530098625
וך;0.002206722435841918
