Ћ≥тера;„астота
п;0.027444001518602885
р;0.04183513667425968
е;0.0870966211085801
с;0.05293517463933182
т;0.06475654897494305
у;0.029654280561883066
л;0.045965024677296885
н;0.06509111617312073
и;0.06485264806378133
а;0.07966614464692483
к;0.03302961275626424
з;0.015398395975702354
г;0.016892084282460137
ь;0.023228692103264996
ы;0.01651480637813212
й;0.010014474183750949
о;0.1147340072133637
м;0.03144219817767654
в;0.046265186028853454
ж;0.01140969058466211
ю;0.005617644267274108
б;0.017390375854214123
д;0.032019979119210326
ч;0.01810459377372817
э;0.0035271924829157176
ц;0.0027726366742596813
€;0.02136603075170843
х;0.008508921791951405
ш;0.008231302201974183
ф;0.0012445425208807896
щ;0.002990935839028094
