Key,Value
тж,7.146210757476902e-07
 ъ,7.146210757476902e-07
аэ,7.146210757476902e-07
чэ,7.146210757476902e-07
ён,7.146210757476902e-07
лэ,7.146210757476902e-07
сэ,7.146210757476902e-07
дэ,7.146210757476902e-07
щэ,7.146210757476902e-07
фч,7.146210757476902e-07
эш,7.146210757476902e-07
мд,7.146210757476902e-07
 ё,7.146210757476902e-07
ыо,7.146210757476902e-07
йп,7.146210757476902e-07
дщ,7.146210757476902e-07
ыя,7.146210757476902e-07
ёл,7.146210757476902e-07
жр,7.146210757476902e-07
ьх,7.146210757476902e-07
юа,7.146210757476902e-07
вж,7.146210757476902e-07
фю,7.146210757476902e-07
кп,7.146210757476902e-07
ём,7.146210757476902e-07
ьп,7.146210757476902e-07
мв,7.146210757476902e-07
яф,7.146210757476902e-07
ъ ,7.146210757476902e-07
 ь,7.146210757476902e-07
фэ,7.146210757476902e-07
жэ,7.146210757476902e-07
бэ,7.146210757476902e-07
мэ,7.146210757476902e-07
йй,7.146210757476902e-07
мх,7.146210757476902e-07
гз,7.146210757476902e-07
цс,7.146210757476902e-07
эц,7.146210757476902e-07
хп,7.146210757476902e-07
йщ,7.146210757476902e-07
шс,7.146210757476902e-07
фн,7.146210757476902e-07
юи,7.146210757476902e-07
дё,7.146210757476902e-07
хч,7.146210757476902e-07
що,1.4292421514953804e-06
нэ,1.4292421514953804e-06
вэ,1.4292421514953804e-06
цд,1.4292421514953804e-06
эф,1.4292421514953804e-06
шр,1.4292421514953804e-06
юг,1.4292421514953804e-06
йг,1.4292421514953804e-06
кх,1.4292421514953804e-06
ёг,1.4292421514953804e-06
фь,1.4292421514953804e-06
пщ,1.4292421514953804e-06
рэ,1.4292421514953804e-06
щр,1.4292421514953804e-06
ыщ,1.4292421514953804e-06
кё,1.4292421514953804e-06
йф,1.4292421514953804e-06
нм,2.1438632272430705e-06
пэ,2.1438632272430705e-06
лщ,2.1438632272430705e-06
тш,2.1438632272430705e-06
цл,2.1438632272430705e-06
пц,2.1438632272430705e-06
бз,2.1438632272430705e-06
фм,2.1438632272430705e-06
чм,2.1438632272430705e-06
гы,2.1438632272430705e-06
шц,2.1438632272430705e-06
пф,2.1438632272430705e-06
хш,2.1438632272430705e-06
хъ,2.8584843029907607e-06
фф,2.8584843029907607e-06
тэ,2.8584843029907607e-06
кг,2.8584843029907607e-06
цт,2.8584843029907607e-06
нл,2.8584843029907607e-06
ыц,2.8584843029907607e-06
юе,2.8584843029907607e-06
мф,2.8584843029907607e-06
оа,3.573105378738451e-06
тё,3.573105378738451e-06
ьф,3.573105378738451e-06
эз,3.573105378738451e-06
ыу,3.573105378738451e-06
дз,3.573105378738451e-06
мш,3.573105378738451e-06
шэ,3.573105378738451e-06
лё,3.573105378738451e-06
эд,3.573105378738451e-06
пс,4.287726454486141e-06
кш,4.287726454486141e-06
шш,4.287726454486141e-06
зц,4.287726454486141e-06
ёр,4.287726454486141e-06
юп,4.287726454486141e-06
чв,4.287726454486141e-06
эм,5.002347530233831e-06
уу,5.002347530233831e-06
бш,5.002347530233831e-06
 й,5.002347530233831e-06
фк,5.002347530233831e-06
бц,5.002347530233831e-06
нп,5.002347530233831e-06
лз,5.002347530233831e-06
иу,5.002347530233831e-06
юж,5.7169686059815215e-06
ьа,5.7169686059815215e-06
юх,5.7169686059815215e-06
жл,5.7169686059815215e-06
бю,5.7169686059815215e-06
дф,5.7169686059815215e-06
гю,5.7169686059815215e-06
лм,5.7169686059815215e-06
уц,5.7169686059815215e-06
км,5.7169686059815215e-06
эп,5.7169686059815215e-06
эг,6.431589681729211e-06
бж,6.431589681729211e-06
лф,6.431589681729211e-06
фс,6.431589681729211e-06
гм,6.431589681729211e-06
ао,6.431589681729211e-06
эх,6.431589681729211e-06
мщ,6.431589681729211e-06
жм,7.146210757476902e-06
йе,7.146210757476902e-06
ьв,7.146210757476902e-06
кз,7.146210757476902e-06
мз,7.146210757476902e-06
еф,7.146210757476902e-06
дг,7.146210757476902e-06
ьщ,7.146210757476902e-06
бт,7.146210757476902e-06
вщ,7.146210757476902e-06
лш,7.146210757476902e-06
тф,7.860831833224592e-06
пш,7.860831833224592e-06
бг,8.575452908972282e-06
щ ,8.575452908972282e-06
аа,8.575452908972282e-06
яш,8.575452908972282e-06
кц,8.575452908972282e-06
лв,8.575452908972282e-06
гш,8.575452908972282e-06
зш,9.290073984719973e-06
йб,9.290073984719973e-06
фт,9.290073984719973e-06
тз,1.0004695060467662e-05
тг,1.0004695060467662e-05
дж,1.0719316136215352e-05
кж,1.1433937211963043e-05
йо,1.1433937211963043e-05
вц,1.1433937211963043e-05
цн,1.1433937211963043e-05
зт,1.1433937211963043e-05
кю,1.2148558287710734e-05
фы,1.2148558287710734e-05
уо,1.2148558287710734e-05
ыи,1.2148558287710734e-05
гт,1.2148558287710734e-05
нб,1.2148558287710734e-05
мб,1.2148558287710734e-05
шв,1.2863179363458422e-05
эй,1.2863179363458422e-05
нф,1.2863179363458422e-05
пг,1.2863179363458422e-05
зъ,1.3577800439206113e-05
вб,1.3577800439206113e-05
жж,1.3577800439206113e-05
цг,1.3577800439206113e-05
нв,1.3577800439206113e-05
уи,1.4292421514953804e-05
яп,1.4292421514953804e-05
кч,1.4292421514953804e-05
кд,1.5007042590701494e-05
э ,1.5007042590701494e-05
нх,1.5007042590701494e-05
зч,1.5721663666449183e-05
кк,1.5721663666449183e-05
тх,1.5721663666449183e-05
яи,1.5721663666449183e-05
уф,1.5721663666449183e-05
сф,1.6436284742196875e-05
уа,1.6436284742196875e-05
въ,1.7150905817944564e-05
юк,1.7865526893692253e-05
шм,1.7865526893692253e-05
тщ,1.7865526893692253e-05
рф,1.8580147969439946e-05
сг,1.9294769045187634e-05
чр,1.9294769045187634e-05
дч,1.9294769045187634e-05
жг,1.9294769045187634e-05
нж,1.9294769045187634e-05
сж,2.0009390120935323e-05
бч,2.0009390120935323e-05
нз,2.0009390120935323e-05
бд,2.0009390120935323e-05
еа,2.0724011196683016e-05
съ,2.0724011196683016e-05
лб,2.0724011196683016e-05
хт,2.0724011196683016e-05
цв,2.1438632272430705e-05
пч,2.1438632272430705e-05
щь,2.2153253348178394e-05
мц,2.2153253348178394e-05
бб,2.2867874423926086e-05
жс,2.2867874423926086e-05
щн,2.3582495499673775e-05
юц,2.3582495499673775e-05
юз,2.4297116575421467e-05
сц,2.4297116575421467e-05
мч,2.4297116575421467e-05
рр,2.4297116575421467e-05
мм,2.5011737651169156e-05
ыж,2.5011737651169156e-05
яб,2.5011737651169156e-05
вг,2.5011737651169156e-05
йр,2.5726358726916845e-05
