Character,Number of characters,Frequency
à,67149,0.07966000154221213
á,14658,0.017389034871788788
â,38996,0.0462616184923097
ã,14238,0.016890781723599996
ä,26989,0.032017510039207775
å,73412,0.08708990503532259
¸,65,7.711060626731281e-05
æ,9617,0.011408810776503806
ç,12979,0.015397208596053123
è,54663,0.06484764723677108
é,8441,0.010013701961575193
ê,27840,0.03302706582279983
ë,38743,0.04596148028637693
ì,26502,0.03143977365071268
í,54864,0.06508609695769
î,96707,0.114725160004508
ï,23132,0.027441885295007386
ð,35262,0.04183191074150745
ñ,44618,0.05293109277592251
ò,54582,0.06475155555819181
ó,24995,0.02965199390233052
ô,1049,0.0012444465534524791
õ,7172,0.008508265663833347
ö,2337,0.00277242287456477
÷,15260,0.018103197717526054
ø,6938,0.00823066748127102
ù,2521,0.00299070520615224
ú,204,0.00024200867197741253
û,13920,0.016513532911399915
ü,19375,0.022984892252756704
ý,2973,0.0035269204989649386
þ,4735,0.005617211087318864
ÿ,18009,0.02136438320412364
Total,842945
Entropy,4.45153123334034
Redundancy,0.11752905740313446
