,Біграма,Частота
15,ст,0.017925539774126455
92,ни,0.01702196982038469
4,то,0.016144919739499077
54,пр,0.013614166158369103
134,ос,0.013223945172057147
28,ра,0.01279205009982838
21,но,0.012418877603209663
35,ко,0.01155887601201729
10,по,0.01091103340367414
116,ен,0.010545438013585751
79,во,0.010348433243797191
74,ет,0.010340856137266862
23,го,0.010227199539311923
62,не,0.010198785389823188
3,от,0.009785833083920243
55,ре,0.009753630381166344
52,на,0.009747947551268597
150,ли,0.00952063435535872
19,ин,0.00866252704079893
13,ка,0.008533716229783333
121,ов,0.008512879186824928
14,ас,0.00805635851837259
210,ва,0.00795027902694798
243,ик,0.00787829651490985
22,ог,0.007671820361958379
37,ро,0.007652877595632556
18,ри,0.0075486923808405285
47,ал,0.0074066216333968544
253,ак,0.007387678867071031
36,ор,0.007366841824112626
68,он,0.0073308505680935625
192,им,0.007061863286266873
39,да,0.0069027440491299585
70,те,0.006794770281072767
51,ан,0.006643228150466181
137,ся,0.006580717021590965
135,ел,0.006573139915060636
180,де,0.006544725765571901
2,ло,0.0064708489769011905
99,из,0.0063268839528249346
43,ль,0.006311729739764276
33,ес,0.006270055653847465
71,ер,0.006218910184767743
16,та,0.006213227354869996
56,сл,0.006190496035279008
29,ат,0.006181024652116097
57,ед,0.006181024652116097
1,ол,0.006139350566199285
235,ав,0.005959394286103966
30,ти,0.005925297306717483
163,ми,0.005883623220800673
104,ть,0.005860891901209685
247,ве,0.005692301280909859
111,ки,0.0056809356211143655
90,ае,0.005446045318674158
288,ие,0.005411948339287676
156,об,0.005389217019696689
80,ое,0.005303974571230484
86,ив,0.0052054721863362035
42,ил,0.0051543267172564815
241,аз,0.005105075524809341
11,ом,0.005105075524809341
258,ей,0.005033093012771213
154,ла,0.004980053267058908
160,за,0.0049383791811420975
75,тв,0.0049156478615511095
310,аж,0.004695911772171561
110,ек,0.004669391899315409
183,ит,0.004584149450849204
61,тн,0.004584149450849204
144,тр,0.004576572344318875
49,ег,0.0044856470659549235
107,ме,0.004409876000651631
234,оз,0.004402298894121302
25,ис,0.004305690785859604
189,ем,0.0042696995298405396
315,ьс,0.004186351358006918
38,од,0.004178774251476588
155,оп,0.004152254378620436
5,ой,0.004148465825355272
32,че,0.003985558034953192
554,жд,0.003839698734244354
83,га,0.003796130371694961
324,ят,0.003760139115675897
323,ия,0.003724147859656833
34,ск,0.0035972313252738176
177,ну,0.0034892575572166257
48,ле,0.0034778918974211316
143,мо,0.00346842051425822
97,бы,0.0034456891946672325
129,их,0.0034267464283414093
147,ев,0.0034096979386481685
287,зн,0.0033869666190571805
285,еп,0.0033452925331403697
274,ам,0.0033339268733448757
17,ар,0.0032240588286551013
211,аю,0.0031861732960034553
89,ад,0.00310850795406758
46,ма,0.003040313995294617
277,чт,0.0029834856963171473
84,тс,0.0029607543767261597
267,сп,0.002824366459180233
101,бе,0.0028167893526499037
212,тк,0.00272396979765337
198,ны,0.002701238478062382
133,ип,0.002691767094899471
132,ви,0.002691767094899471
322,уп,0.0026349387959220013
27,кр,0.0026311502426568365
82,бо,0.0026254674127590897
209,ши,0.002604630369800684
60,ют,0.002580004773577114
20,нн,0.0025629562838838734
170,со,0.002536436411027721
26,ок,0.002496656601743492
76,вс,0.0024947623251109097
117,ий,0.0024928680484783278
312,оч,0.002428462642970529
205,до,0.0023072289384852606
85,ои,0.0022598720226707026
53,ап,0.0022276693199168034
168,щи,0.002189783787265157
31,ич,0.002146215424715764
219,ум,0.002140532594818017
280,эт,0.0021272726583899406
105,ьн,0.002104541338798953
468,яс,0.002098858508901206
456,лю,0.002093175679003459
257,ыв,0.002064761529514724
66,чи,0.002045818763188901
261,ез,0.002040135933291154
190,мн,0.0020363473800259894
262,му,0.00202877027349566
255,пе,0.0020060389539046726
164,ир,0.00197951908104852
328,йс,0.001956787761457532
375,кт,0.001943527825029456
0,зо,0.0019151136755407212
122,вы,0.0019151136755407212
282,ку,0.0019094308456429744
400,си,0.001877228142889075
515,ющ,0.001877228142889075
151,зи,0.001865862483093581
340,ут,0.0018582853765632518
136,ля,0.0018544968232980872
585,ьз,0.0018336597803396816
115,же,0.001829871227074517
343,тп,0.0018203998439116054
245,ча,0.0018128227373812762
176,жи,0.0017900914177902884
77,се,0.0017900914177902884
91,вн,0.0017484173318734774
321,сн,0.0017484173318734774
215,ии,0.001727580288915072
372,са,0.001716214629119578
100,зб,0.0016896947562634256
138,ян,0.0016878004796308434
64,уд,0.0016726462665701848
289,ее,0.0016688577133050202
184,ры,0.001613923690960133
254,йн,0.0015949809246343098
225,вл,0.0015874038181039806
378,вш,0.0015495182854523342
246,ьк,0.0015324697957590934
238,ди,0.0015286812424939289
185,ым,0.0015097384761681056
94,ще,0.0014926899864748649
172,ру,0.0014889014332097003
213,кн,0.001469958666883877
165,рт,0.0014623815603535479
158,яв,0.0014566987304558009
171,оо,0.0014548044538232185
196,иг,0.0014529101771906363
449,ыл,0.0014377559641299777
264,ня,0.0014188131978041545
78,св,0.0014169189211715723
224,хо,0.0014093418146412429
307,йп,0.001397976154845749
348,иц,0.0013809276651525083
220,вр,0.0013809276651525083
332,зв,0.001367667728724432
103,жа,0.001356302068928938
197,дн,0.001350619239031191
444,оя,0.0013487249623986089
179,гд,0.001331676472705368
182,би,0.0013184165362772919
120,ид,0.0013089451531143803
393,хв,0.0012805310036256455
411,яп,0.0012710596204627339
354,ца,0.00125969396066724
67,ио,0.0012502225775043285
174,ех,0.0012142313214852645
191,ож,0.0011933942785268589
181,еи,0.0011858171719965297
326,лс,0.0011839228953639473
256,зы,0.0011782400654662005
44,ья,0.0011668744056707065
353,лн,0.0011649801290381243
263,сь,0.0011592972991403773
140,ус,0.0011574030225077949
45,ям,0.0011498259159774657
237,ео,0.0011498259159774657
373,ял,0.0011498259159774657
153,тл,0.001134671702916807
457,юб,0.0011176232132235663
431,аи,0.001115728936590984
271,тя,0.0011119403833258193
81,еб,0.00110436327679549
268,ая,0.0011024690001629077
128,дс,0.001096786170265161
95,ту,0.0010835262338370847
88,па,0.0010570063609809323
204,дл,0.0010532178077157675
275,еч,0.0010513235310831853
368,зу,0.001032380764757362
545,иш,0.001032380764757362
514,юд,0.0010285922114921975
311,жн,0.001026697934859615
226,ою,0.0010172265516967035
221,мя,0.0010115437217989567
109,ше,0.0010077551685337921
284,сч,0.0010077551685337921
464,ию,0.001002072338636045
581,яг,0.000966081082616981
113,ун,0.000966081082616981
597,дп,0.0009585039760866518
187,лу,0.0009528211461889048
58,ду,0.0009509268695563225
142,ын,0.0009490325929237402
402,лп,0.000930089826597917
408,зл,0.0009263012733327524
389,йв,0.0009206184434350055
505,фи,0.0009111470602720939
684,бс,0.0009054642303743469
96,аб,0.000894098570578853
405,рг,0.000894098570578853
298,яи,0.0008903100173136884
445,ящ,0.0008884157406811061
567,шь,0.0008865214640485238
336,мп,0.0008846271874159415
