,Біграма,Частота
27,о ,0.021290913660723696
11, п,0.018419153714559062
65, н,0.017812695092387646
71,и ,0.01617493250310121
18,ст,0.015164708648521555
99,ни,0.014357178183705074
17, с,0.01375396265576987
84,е ,0.01356099854871533
4,то,0.013251283049157202
81, в,0.013077777507519924
57,пр,0.011654059137823398
16,а ,0.01130542650743074
64,т ,0.011047600515651984
32,ра,0.010938956858738923
93, и,0.010708697167967959
24,но,0.010476815930078888
39,ко,0.009726039614396095
12,по,0.009336868306050803
140,ос,0.009213630725074794
144,я ,0.009056340654618572
6,й ,0.008988235675658145
66,не,0.008710951118462125
26,го,0.008704464929989704
86,во,0.008599064367312854
212, к,0.008414207995848839
58,ре,0.008337995281297887
56,на,0.008316915168762515
80,ет,0.008192056040668402
72, о,0.008128815703062292
155,ли,0.0077380228475988945
124,ен,0.007483439950056348
75, т,0.007394254858560553
15,ка,0.007272638824702649
3,от,0.007201290751506012
210,ва,0.00672779899301924
41,ро,0.0065105116791931185
21,ри,0.006406732663634373
25,ог,0.006291602818248892
237,ал,0.006152149766091828
238,л ,0.006007832072580449
43,да,0.005891080680076861
244,ик,0.005866757473305281
114,ь ,0.0058245972482345405
115,ас,0.005766221551982747
191,им,0.005680279554723161
253,ак,0.005647848612361054
143,ся,0.00561055302864463
181,де,0.005582986727636839
149,м ,0.005518124842912623
131,ор,0.005513260201558306
76,те,0.005428939751416827
47,ль,0.00540299499752714
141,ел,0.005380293337873665
22,ин,0.005321917641621872
128,ов,0.005268406586724394
59,сл,0.00525219111554334
2,ло,0.005247326474189024
19,та,0.005193815419291546
40, р,0.005075442479669853
113,ть,0.005017066783418059
108,из,0.00496031263428437
60,ед,0.004885721466851523
103,у ,0.004880856825497207
1,ол,0.004850047430253204
77,ер,0.0048435612417807835
248,ве,0.004801401016710043
33,ат,0.004686271171324561
162, з,0.004670055700143507
126,ки,0.004606815362537397
166,ми,0.004593842985592554
97,ае,0.004420337443955278
277,ие,0.004389528048711276
55,ан,0.004386284954475065
