,Літера,Частота
1,о,0.10764620871617411
17,е,0.08406870962059698
13,и,0.08316712787497561
10,а,0.08011387204736714
3,т,0.07008661624627577
14,н,0.06469606656552283
11,с,0.055437806959226156
12,р,0.046848157344955406
2,л,0.04307515138428786
22,в,0.04163565111816971
7,к,0.03716941213460843
8,п,0.030159424654472584
9,м,0.027428162307443164
18,д,0.026867514835376097
0,з,0.023727131360081522
20,я,0.021615232943342406
6,у,0.02022687281825741
15,г,0.019120730508503467
19,ь,0.016844047192879776
23,б,0.01432492172717303
25,ы,0.0132434024482869
4,й,0.013014218853286512
16,ч,0.012275527927252202
21,ю,0.011059529018241877
5,ж,0.010453423643034239
27,х,0.008186210723898166
26,ш,0.006140605082572387
24,щ,0.004274936974511375
30,ц,0.002846801184178377
29,э,0.0025892063997151305
28,ф,0.0016573193853333863
