,Літера,Частота
5, ,0.1438891384261639
1,о,0.09215708848916081
18,е,0.07197213542468991
14,и,0.07120028149966677
11,а,0.06858635602248754
3,т,0.06000191341939397
15,н,0.055387005287848005
12,с,0.04746090867962711
13,р,0.04010721634773641
2,л,0.036877104964026096
23,в,0.03564473315096393
8,к,0.03182113744675262
9,п,0.02581981102551172
10,м,0.023481547664412183
19,д,0.023001571274061654
0,з,0.02031305487135498
21,я,0.01850503569824403
7,у,0.017316445515382757
16,г,0.016369465069556038
20,ь,0.014420371754686662
24,б,0.012263721081827867
26,ы,0.011337820680171948
4,й,0.011141614115197577
17,ч,0.01050921279007357
22,ю,0.009468182916407896
6,ж,0.008949289521434351
28,х,0.007008303915861436
27,ш,0.005257038707825723
25,щ,0.0036598199764227815
31,ц,0.002437177414516367
30,э,0.0022166477216526105
29,ф,0.0014188491268807858
