*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
а,1.557807106092895e-05,0.0006620680200894805,0.00341159756234344,0.0009487045276105732,0.002112386435861966,0.0008505626799267207,0.001188606821948879,0.003977081541855161,0.00011995114716915293,0.00075865206066724,0.004271507084906719,0.00883432409865281,0.0026716391869493154,0.005098702658242046,6.231228424371581e-06,0.0007259381114392892,0.002676312608267594,0.003718485562243741,0.004657843247217757,0.00013552921823008188,0.0005062873094801909,0.0009673982128836878,8.723719794120213e-05,0.0007290537256514749,0.0009705138270958737,0.00023522887302002718,-,-,1.5578071060928952e-06,0.0007742301317281688,0.0027697810346331677,0.01649250383220548
б,0.0011403148016599991,2.4924913697486324e-05,3.738737054622948e-05,1.869368527311474e-05,1.4020263954836056e-05,0.0019690681821014195,4.673421318278685e-06,1.5578071060928952e-06,0.0007321693398636607,-,0.00024613352276267744,0.0007524208322428683,6.23122842437158e-05,0.0002492491369748632,0.002201181440909261,-,0.0011948380503732506,6.854351266808738e-05,7.789035530464475e-06,0.001144988222978278,-,4.673421318278686e-05,6.231228424371581e-06,2.4924913697486324e-05,4.673421318278685e-06,0.0001620119390336611,0.0035471267805735223,0.00011683553295696713,1.5578071060928952e-06,6.231228424371581e-06,0.0004642265176156828,0.00023990229433830585
в,0.005767001906755898,9.34684263655737e-06,2.1809299485300533e-05,2.1809299485300533e-05,0.0002726162435662567,0.004167134008798494,-,0.0005094029236923768,0.0032620480801585226,-,0.0001246245684874316,0.0009300108423374585,0.00014020263954836056,0.0013412719183459828,0.006963397764235242,0.00030533019279420744,0.00046889993893396145,0.0029645069228947793,0.00020095711668598347,0.0007913660098951907,-,3.894517765232238e-05,1.4020263954836056e-05,2.9598335015765008e-05,0.0012384566493438517,6.231228424371581e-06,0.002645156466145736,0.00017759001009459005,1.5578071060928952e-06,-,0.0001246245684874316,0.006086352363504941
г,0.0010281526900213108,-,7.633254819855186e-05,-,0.000861467329669371,0.000563926172405628,-,1.5578071060928952e-06,0.0008100596951683055,-,0.00010437307610822397,0.0016154459690183322,1.0904649742650266e-05,0.0002928677359454643,0.008962064281352426,-,0.0013459453396642614,3.738737054622948e-05,2.1809299485300533e-05,0.0007804613601525405,-,-,-,2.1809299485300533e-05,9.34684263655737e-06,-,3.1156142121857905e-06,-,-,9.34684263655737e-06,-,0.0008412158372901634
д,0.004012911105295298,3.427175633404369e-05,0.0009128749641704366,9.34684263655737e-06,2.0251492379207637e-05,0.004263718049376254,1.2462456848743162e-05,4.673421318278685e-06,0.0027136999788138234,-,0.00020563053800426215,0.000609102578482322,8.723719794120213e-05,0.0016325818471853541,0.0034863723034358994,9.502623347166661e-05,0.002026707045026857,0.0002648272080357922,0.0002897521217332785,0.0015998678979574034,1.2462456848743162e-05,5.140763450106554e-05,0.0001620119390336611,2.1809299485300533e-05,0.00010281526900213107,-,0.0006542789845590159,0.0007664410961977044,1.5578071060928952e-06,1.4020263954836056e-05,0.0003598534415074588,0.0010889071671589337
е,9.34684263655737e-06,0.0010421729539761468,0.0013147891975424035,0.00333059159282661,0.002406811978913523,0.0014394137660298351,0.0009284530352313656,0.0010811181316284692,0.0001620119390336611,0.0022821874104260913,0.000982976283944617,0.00592434042447128,0.0037231589835620194,0.006684550292244613,0.0002445757156565845,0.00093624207076183,0.006749978190700515,0.003420944404979998,0.0035829563440136587,6.542789845590159e-05,1.4020263954836056e-05,0.0010297104971274038,0.00026950062935407086,0.000891065664685136,0.0007165912688027317,0.0006433743348163657,-,-,-,0.00034271756334043694,0.00036764247703792327,0.016246370309442804
ж,0.0013350406899216112,4.984982739497265e-05,-,2.336710659139343e-05,0.000623122842437158,0.0036966762627584403,1.2462456848743162e-05,-,0.0010920227813711195,-,8.412158372901634e-05,1.5578071060928952e-06,1.0904649742650266e-05,0.0010203636544908463,3.427175633404369e-05,-,-,2.0251492379207637e-05,-,0.0001884946598372403,-,-,-,4.673421318278686e-05,-,-,-,3.427175633404369e-05,1.5578071060928952e-06,2.0251492379207637e-05,-,0.00020407273089816927
з,0.005411821886566717,0.00014331825376054635,0.0007461896038184968,0.00042995476128163904,0.0006620680200894805,0.00020718834511035506,0.00017135878167021847,7.789035530464476e-05,0.000311561421218579,1.5578071060928952e-06,0.0001620119390336611,0.00017603220298849714,0.0002554803653992348,0.0015079572786979225,0.0006854351266808739,3.427175633404369e-05,0.00014487606086663926,0.00014643386797273214,1.2462456848743162e-05,0.0002570381725053277,-,-,3.1156142121857905e-06,1.2462456848743162e-05,1.2462456848743162e-05,-,0.0005296544160715844,0.001099811816901584,-,0.00011216211163868845,0.0005078451165862839,0.0011200633092807917
и,7.010131977418028e-05,0.0004829202028887975,0.002584401989008113,0.0004735733602522401,0.0017120300095960917,0.0023289216236088784,0.0003847783552049451,0.0016434864969280044,0.000623122842437158,0.001412931045226256,0.0016512755324584688,0.004885283084707319,0.00280872621228549,0.0031732530751112276,0.00026950062935407086,0.00021653518774691243,0.0006620680200894805,0.002777570070163632,0.0032854151867499157,3.1156142121857905e-06,1.7135878167021846e-05,0.001666853603519398,0.0014144888523323488,0.0011621241011452999,0.0003536222130830872,0.00010437307610822397,-,1.5578071060928952e-06,-,0.0002881943146271856,0.0015671539487294526,0.017727844867337146
й,1.5578071060928952e-06,1.4020263954836056e-05,-,3.1156142121857905e-06,0.00017914781720068293,1.2462456848743162e-05,-,-,-,1.5578071060928952e-06,4.0502984758415274e-05,0.0002243242232773769,4.673421318278686e-05,0.0003396019491282511,1.2462456848743162e-05,-,5.6081055819344224e-05,0.0006496055632407373,0.00029909896436983586,-,-,-,3.582956344013659e-05,5.452324871325133e-05,8.100596951683055e-05,1.5578071060928952e-06,-,-,-,1.5578071060928952e-06,-,0.007606772099051607
