*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.0003861792391526336,0.001583706206717291,0.005820538051651473,0.0017192402666122055,0.003267670485137669,0.0015317205399082824,0.001533577170865747,0.005191140157070979,0.0015707097900150386,0.0009060359072427174,0.006516774660700692,0.010870574255955143,0.00409387126120941,0.00788882493826702,0.0014723083492694158,0.0027125378288557584,0.00373368485546128,0.006329254933996769,0.0064053768032528175,0.0005551326562819108,0.0007129462876664006,0.0012773620987356342,0.0001578136313844897,0.0012977850392677447,0.0012755054677781696,0.0002803512745771523,-,-,0.00034718998904587734,0.0009283154787322924,0.0035090325096080654
б,0.0013683370156513989,3.527598819182711e-05,5.941219063886671e-05,2.2279571489575018e-05,2.042294053211043e-05,0.002359777946937487,9.283154787322924e-06,3.7132619149291695e-06,0.0009041792762852528,-,0.00030263084606672733,0.0008967527524553944,8.169176212844172e-05,0.0003156272627689794,0.0027032546740684356,5.5698928723937545e-06,0.0014258925753328012,9.65448097881584e-05,1.1139785744787509e-05,0.0013831900633111158,-,5.755555968140213e-05,7.426523829858339e-06,3.341935723436253e-05,7.426523829858339e-06,0.0001930896195763168,0.004227548690146859,0.00013924732180984386,3.341935723436253e-05,7.426523829858339e-06,0.00055884591819684
в,0.006986502292939232,0.0002487885483002544,0.0004641577393661462,0.0004121720725571378,0.0007073763947940067,0.005126158073559719,2.9706095319433356e-05,0.0007593620616030152,0.004197842594827426,-,0.000733369228198511,0.0012959284083102801,0.00034904662000334195,0.002114702660552162,0.00876329811923284,0.0010619929076697424,0.0008020645736247006,0.00424797163067897,0.0007946380497948423,0.0010879857410742468,1.6709678617181263e-05,7.983513117097714e-05,7.24086073411188e-05,0.00023950539351293143,0.0015484302185254637,9.283154787322924e-06,0.0031544159967323293,0.00021165592915096265,0.000339763465216019,5.5698928723937545e-06,0.0001726666790442064
г,0.0012402294795863427,4.270251202168545e-05,0.00016524015521434803,1.2996416702252093e-05,0.0010991255268190342,0.0006980932400066839,-,7.612186925604797e-05,0.0010304301813928445,-,0.00018751972670392306,0.001927182933848239,5.012903585154379e-05,0.00044373479883403575,0.010766602922337127,9.840144074562299e-05,0.001628265349696441,0.0001559570004270251,4.82724048940792e-05,0.000961734835966655,7.426523829858339e-06,3.7132619149291695e-06,-,3.341935723436253e-05,1.2996416702252093e-05,-,3.7132619149291695e-06,-,2.042294053211043e-05,1.1139785744787509e-05,9.283154787322924e-06
д,0.0047993910250459515,9.468817883069382e-05,0.0011752473960750822,9.283154787322924e-05,5.5698928723937545e-05,0.005111305025900002,2.2279571489575018e-05,5.198566680900837e-05,0.0033289393067340006,-,0.00033605020330108984,0.0007426523829858339,0.00014853047659716678,0.0020720001485304766,0.004218265535359537,0.00023764876255546685,0.00245817938768311,0.00046044447745121703,0.00038803587011009824,0.0019383227195930266,3.341935723436253e-05,6.498208351126047e-05,0.0001949462505337814,8.169176212844172e-05,0.00013182079797998552,-,0.0007797850021351256,0.0009134624310725757,2.042294053211043e-05,1.8566309574645847e-05,0.0004400215369191066
е,0.0001949462505337814,0.0021963944226806036,0.0034421937951393403,0.004545032583873304,0.0037244017006739572,0.002047863946083437,0.0013367742893745011,0.0019643155529975305,0.001448172146822376,0.002719964352685617,0.0021833980059783515,0.007456229925177772,0.005534616884201927,0.009442825049664878,0.0016115556710792596,0.003139562949072613,0.00854050240433709,0.006045190397504688,0.0050537494662186,0.0005829821206438797,6.869534542618964e-05,0.0014277492062902658,0.0003341935723436253,0.0015614266352277158,0.0009635914669241195,0.0007723584783052673,-,-,0.0002896344293644752,0.0004140287035146024,0.0006108315850058484
ж,0.0015911327305471491,6.683871446872505e-05,2.9706095319433356e-05,3.341935723436253e-05,0.000755648799688086,0.004418781678765712,1.4853047659716678e-05,9.283154787322924e-06,0.001314494717884926,-,0.00011325448840533967,1.8566309574645848e-06,2.9706095319433356e-05,0.001243942741501272,5.755555968140213e-05,1.4853047659716678e-05,-,3.156272627689794e-05,1.2996416702252093e-05,0.00022836560776814393,-,5.5698928723937545e-06,-,5.941219063886671e-05,-,-,-,4.084588106422086e-05,1.8566309574645847e-05,2.41362024470396e-05,1.2996416702252093e-05
з,0.006461075731976755,0.00020051614340617515,0.0009765878836263716,0.0005625591801117692,0.0008689032880934257,0.00025807170308757727,0.00020794266723603348,0.00011511111936280426,0.0004233118583019253,1.8566309574645848e-06,0.00033790683425855445,0.00024136202447039602,0.00034718998904587734,0.0019067599933161286,0.0009041792762852528,0.00019123298861885223,0.00023764876255546685,0.0003416200961734836,7.24086073411188e-05,0.00033048031042869606,3.7132619149291695e-06,5.5698928723937545e-06,1.2996416702252093e-05,4.641577393661462e-05,2.9706095319433356e-05,1.8566309574645848e-06,0.0006312545255379588,0.0013107814559699968,3.341935723436253e-05,0.0001336774289374501,0.000612688215963313
и,0.00038803587011009824,0.0014240359443753365,0.005248695716752381,0.0012810753606505635,0.0029798926867306585,0.003269527116095134,0.000612688215963313,0.0025454410426839456,0.0019921650173594994,0.0016895341712927722,0.003193405246839086,0.00612688215963313,0.003936057629824919,0.00570171367037374,0.002070143517573012,0.002562150721301127,0.001435175730120124,0.005352667050370398,0.004713986001002581,0.0005551326562819108,0.0001448172146822376,0.0021388388629992017,0.001730380052356993,0.0019661721839549953,0.0005866953825588088,0.00013739069085237928,-,3.7132619149291695e-06,0.0002562150721301127,0.00034904662000334195,0.0020552904699132953
й,0.00020051614340617515,0.0004140287035146024,0.0007389391210709047,0.0003731828224503815,0.0007185161805387943,0.00012625090510759177,0.0001225376431926626,0.00016152689329941886,0.0006015484302185254,1.8566309574645848e-06,0.0008020645736247006,0.0004140287035146024,0.00046044447745121703,0.0009654480978815841,0.0006256846326655651,0.0008484803475613152,0.00041588533447206697,0.0017359499452293868,0.0006498208351126047,0.00024693191734278977,5.941219063886671e-05,5.012903585154379e-05,5.941219063886671e-05,0.00034904662000334195,0.00018937635766138765,1.1139785744787509e-05,-,-,6.869534542618964e-05,1.1139785744787509e-05,9.283154787322924e-05
