*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
а,1.869368527311474e-05,0.0007321693398636607,0.0034988347602846427,0.0008848344362607644,0.002078114679527922,0.0008661407509876497,0.001218205156964644,0.003938136364202839,0.00013085579691180318,0.0007415161825002181,0.004212310414875188,0.008845228748395459,0.002716815593026009,0.005050410637953166,6.231228424371581e-06,0.0006916663551052454,0.002676312608267594,0.003760546354108249,0.0046484964045811995,0.0001557807106092895,0.00047045774604005436,0.0009596091773532234,6.854351266808738e-05,0.000713475654590546,0.0009627247915654092,0.0002274398374895627,-,-,3.1156142121857905e-06,0.0007820191672586334,0.0026513876945701074,0.01652521778143343
б,0.0011808177864184146,2.1809299485300533e-05,2.8040527909672112e-05,6.231228424371581e-06,1.869368527311474e-05,0.0019784150247379767,6.231228424371581e-06,3.1156142121857905e-06,0.0007165912688027317,-,0.0002212086090651911,0.000772672324622076,6.23122842437158e-05,0.0002554803653992348,0.0021778143343178674,-,0.0011060430453259556,7.165912688027317e-05,9.34684263655737e-06,0.0011963958574793434,-,4.3618598970601065e-05,6.231228424371581e-06,3.11561421218579e-05,6.231228424371581e-06,0.00013397141112398897,0.0033368228212509814,0.00012150895427524582,3.1156142121857905e-06,9.34684263655737e-06,0.0004579952891913112,0.0002554803653992348
в,0.005611221196146608,3.1156142121857905e-06,2.4924913697486324e-05,2.1809299485300533e-05,0.0002804052790967211,0.004181154272753331,-,0.0005234231876472127,0.0032589324659463366,-,0.00014020263954836056,0.0009409154920801087,0.0001246245684874316,0.0012836330554205457,0.007047519347964258,0.0003240238780673222,0.0004579952891913112,0.003043955085305517,0.000193168081155519,0.0008256377662292344,-,4.0502984758415274e-05,9.34684263655737e-06,1.869368527311474e-05,0.0012306676138133872,3.1156142121857905e-06,0.002645156466145736,0.00017759001009459005,3.1156142121857905e-06,-,9.96996547899453e-05,0.006134644383793821
г,0.0010343839184456824,-,6.542789845590159e-05,-,0.000831868994653606,0.0006324696850737154,-,-,0.0008349846088657918,-,0.0001246245684874316,0.001648159918246283,1.2462456848743162e-05,0.0003520644059769943,0.008960506474246333,-,0.0013085579691180318,3.738737054622948e-05,3.11561421218579e-05,0.0007446317967124039,-,-,-,1.557807106092895e-05,3.1156142121857905e-06,-,-,-,-,1.2462456848743162e-05,-,0.0008723719794120213
д,0.0040908014605999425,3.11561421218579e-05,0.0009222218068069939,6.231228424371581e-06,1.557807106092895e-05,0.0043026632270285765,1.869368527311474e-05,3.1156142121857905e-06,0.00264204085193355,-,0.00023990229433830585,0.0005888510861031144,8.100596951683055e-05,0.001722934659338742,0.0034583317755262273,9.96996547899453e-05,0.0020313804663451354,0.00024613352276267744,0.00031467703543076484,0.001573385177153824,1.2462456848743162e-05,5.296544160715843e-05,0.0001277401826996174,1.557807106092895e-05,0.00010593088321431687,-,0.0006605102129833875,0.0008225221520170486,3.1156142121857905e-06,6.231228424371581e-06,0.00033337072070387954,0.0010468463752944255
е,3.1156142121857905e-06,0.001025037075809125,0.0012649393701474308,0.0033087822933413093,0.0023554043444124575,0.001473685522363879,0.0009471467205044802,0.0010374995326578682,0.00017759001009459005,0.002333595044927157,0.0009720716342019666,0.005957054373699231,0.003639037399833003,0.006779576525716279,0.0002274398374895627,0.0009720716342019666,0.006611333358258247,0.00344898493288967,0.0034427537044652984,6.542789845590159e-05,1.869368527311474e-05,0.0010437307610822399,0.00023990229433830585,0.0009035281215338792,0.0006760882840443165,0.0005981979287396717,-,-,-,0.00036764247703792327,0.00037075809125010903,0.016085916177515234
ж,0.0012431300706621303,4.673421318278686e-05,-,3.427175633404369e-05,0.0006418165277102729,0.003623459328772074,1.2462456848743162e-05,-,0.001130967959023442,-,9.346842636557371e-05,-,6.231228424371581e-06,0.0010312683042334966,1.869368527311474e-05,-,-,1.869368527311474e-05,-,0.00017759001009459005,-,-,-,5.296544160715843e-05,-,-,-,4.0502984758415274e-05,-,9.34684263655737e-06,-,0.00020563053800426215
з,0.005333931531262073,0.00013085579691180318,0.0007197068830149176,0.0004361859897060106,0.0006792038982565022,0.00023990229433830585,0.0001588963248214753,8.723719794120213e-05,0.00030844580700639326,-,0.0001588963248214753,0.0001588963248214753,0.00023678668012612006,0.0015266509639710372,0.0007290537256514749,4.0502984758415274e-05,0.0001277401826996174,0.00015266509639710372,1.2462456848743162e-05,0.00021497738064081952,-,-,3.1156142121857905e-06,1.2462456848743162e-05,9.34684263655737e-06,-,0.000520307573435027,0.0010624244463553546,-,8.723719794120213e-05,0.0005327700302837702,0.0011621241011452999
и,5.296544160715843e-05,0.0005296544160715844,0.002598422252962949,0.0004860358171009833,0.0017135878167021848,0.002318016973866228,0.0003832205480988522,0.0016076569334878678,0.0005732730150421854,0.0014020263954836057,0.0016450443040340972,0.004754427287795516,0.0028757119178474846,0.003149885968519834,0.0002585959796114206,0.0002212086090651911,0.0006729726698321307,0.0028009371767550254,0.003268279308582894,3.1156142121857905e-06,2.1809299485300533e-05,0.0016948941314290698,0.0014020263954836057,0.0011963958574793434,0.0003614112486135517,0.00010281526900213107,-,-,-,0.00026171159382360636,0.0014674542939395073,0.018344736481349933
й,-,1.2462456848743162e-05,-,6.231228424371581e-06,0.00018693685273114743,1.869368527311474e-05,-,-,-,-,4.0502984758415274e-05,0.0002274398374895627,3.427175633404369e-05,0.0003240238780673222,1.2462456848743162e-05,-,5.296544160715843e-05,0.0006605102129833875,0.000311561421218579,-,-,-,3.427175633404369e-05,5.6081055819344224e-05,6.854351266808738e-05,3.1156142121857905e-06,-,-,-,3.1156142121857905e-06,-,0.007714260789372017
