*,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.0004530179536213587,0.0015892760995896845,0.005710996825161063,0.001667254599803197,0.003197118508754015,0.001552143480440393,0.0015447169566105345,0.0052319860381352,0.0016152689329941889,0.0009246022168173632,0.00652791444644548,0.010876144148827538,0.004036315701528007,0.008098624236460518,0.0013479140751192886,0.0026104231261952064,0.0036612762481201613,0.006390523755593101,0.0062828391600601545,0.0005829821206438797,0.0006906667161768256,0.001269935574905776,8.911828595830007e-05,0.0013367742893745011,0.0013182079797998552,0.0002673548578749002,-,-,0.0003453333580884128,0.000854050240433709,0.00348675293811849
б,0.0013961864800133678,2.9706095319433356e-05,7.055197638365422e-05,1.8566309574645847e-05,7.426523829858339e-06,0.00245817938768311,7.426523829858339e-06,3.7132619149291695e-06,0.0009171756929875048,-,0.0003156272627689794,0.000854050240433709,8.169176212844172e-05,0.0003230537865988377,0.0027478138170475854,1.1139785744787509e-05,0.001552143480440393,0.00010025807170308757,1.8566309574645847e-05,0.0014593119325671637,-,5.198566680900837e-05,7.426523829858339e-06,3.341935723436253e-05,3.7132619149291695e-06,0.00016709678617181264,0.004184846178125174,0.0001225376431926626,3.341935723436253e-05,1.1139785744787509e-05,0.0005087168823452962
в,0.007062624162195281,0.0002487885483002544,0.00047901078702586287,0.0004270251202168545,0.0006721004066021797,0.005020330108984237,2.5992833404504185e-05,0.0008057778355396298,0.004095727892166874,-,0.0007092330257514714,0.001288501884480422,0.00036018640574812945,0.0021759714821484935,0.008793004214552274,0.0010248602885204509,0.0007834982640500548,0.004233118583019254,0.0008354839308590632,0.0010842724791593175,1.4853047659716678e-05,7.055197638365422e-05,7.426523829858339e-05,0.00025250181021518355,0.0015484302185254637,1.4853047659716678e-05,0.0032119715564137316,0.000219082452980821,0.0003416200961734836,3.7132619149291695e-06,0.00016338352425688345
г,0.0012847886225654927,4.084588106422086e-05,0.0001559570004270251,1.1139785744787509e-05,0.0011325448840533968,0.0006758136685171089,-,7.055197638365422e-05,0.0010434265980950967,-,0.00022279571489575018,0.0018863370527840181,4.82724048940792e-05,0.0004121720725571378,0.010772172815209521,0.00011882438127773342,0.0015669965281001096,0.00014853047659716678,6.312545255379589e-05,0.0009394552644770798,7.426523829858339e-06,3.7132619149291695e-06,-,4.82724048940792e-05,1.4853047659716678e-05,-,-,-,1.8566309574645847e-05,1.8566309574645847e-05,1.1139785744787509e-05
д,0.004764115036854124,0.00010025807170308757,0.001180817288947476,0.00010397133361801674,7.426523829858339e-05,0.005168860585581404,2.2279571489575018e-05,5.5698928723937545e-05,0.0033679285568407567,-,0.0003527598819182711,0.0007537921687306214,0.00014110395276730844,0.00214626538682906,0.004325950130892483,0.00022650897681067935,0.0024841722210876146,0.0004975770966005088,0.0003898925010675628,0.0019643155529975305,2.9706095319433356e-05,5.941219063886671e-05,0.00020794266723603348,0.00010025807170308757,0.00012625090510759177,-,0.0007500789068156922,0.0009914409312860883,2.5992833404504185e-05,1.8566309574645847e-05,0.00046044447745121703
е,0.0001819498338315293,0.0022242438870425725,0.0034533335808841275,0.0046341508698316035,0.0035610181764170737,0.0020311542674662556,0.0012736488368207052,0.002060860362785689,0.0014704517183119512,0.002677261840663931,0.002257663244276935,0.0075045023300718515,0.005655297896437125,0.009372273073281224,0.0016524015521434804,0.0031896919849241567,0.008440244332634003,0.006112029111973413,0.005094595347282821,0.0005755555968140213,5.941219063886671e-05,0.0014407456229925178,0.0003267670485137669,0.001533577170865747,0.0009803011455413008,0.0008020645736247006,-,-,0.0003007742151092627,0.000438164905961642,0.0006423943112827463
ж,0.0017155270046972763,6.683871446872505e-05,2.2279571489575018e-05,2.2279571489575018e-05,0.0007760717402201965,0.00438164905961642,1.8566309574645847e-05,7.426523829858339e-06,0.0012959284083102801,-,0.00010025807170308757,-,2.2279571489575018e-05,0.0012773620987356342,5.198566680900837e-05,7.426523829858339e-06,-,2.5992833404504185e-05,1.8566309574645847e-05,0.00026364159595997105,-,7.426523829858339e-06,-,7.426523829858339e-05,-,-,-,1.8566309574645847e-05,1.8566309574645847e-05,3.341935723436253e-05,1.8566309574645847e-05
з,0.0065427674941051965,0.00017452331000167098,0.0009431685263920091,0.000568129072984163,0.0008280574070292048,0.0002599283340450419,0.0001708100480867418,0.00010397133361801674,0.0004418781678765712,-,0.00034904662000334195,0.00018566309574645848,0.0003156272627689794,0.0018751972670392307,0.0009394552644770798,0.00020422940532110432,0.00023022223872560851,0.00040474554872727946,5.198566680900837e-05,0.00029706095319433355,-,3.7132619149291695e-06,7.426523829858339e-06,4.4559142979150036e-05,4.4559142979150036e-05,3.7132619149291695e-06,0.0005941219063886671,0.001314494717884926,3.341935723436253e-05,0.00010768459553294592,0.0006275412636230297
и,0.0004233118583019253,0.001489018027886597,0.005313677800263642,0.001247656003416201,0.003022595198752344,0.00313027979428529,0.0005569892872393754,0.0025472976736414105,0.0021091327676797684,0.001774939195336143,0.003241677651733165,0.006093462802398767,0.003872932177271124,0.005755555968140213,0.00192346967193331,0.0025732905070459146,0.0013553405989491468,0.005283971704944208,0.0047863946083436994,0.0005718423348990921,0.0001336774289374501,0.0021722582202335643,0.001730380052356993,0.0019346094576780974,0.0005792688587289504,0.00015967026234195428,-,3.7132619149291695e-06,0.00023764876255546685,0.00038246597723770446,0.0020682868866155474
й,0.00021165592915096265,0.00039731902489742113,0.0008057778355396298,0.0003119140008540502,0.0007055197638365422,0.00014110395276730844,0.00010025807170308757,0.00011511111936280426,0.0006201147397931713,3.7132619149291695e-06,0.0008689032880934257,0.0003898925010675628,0.00047901078702586287,0.000987727669371159,0.0006164014778782421,0.0008726165500083548,0.0003638996676630586,0.0017378065761868514,0.000657247358942463,0.00026364159595997105,5.941219063886671e-05,4.4559142979150036e-05,5.5698928723937545e-05,0.0003119140008540502,0.000219082452980821,1.1139785744787509e-05,-,-,4.4559142979150036e-05,1.1139785744787509e-05,0.00010025807170308757
