Символ(и),Кількість,Частота
и,41170,0.07186433577419551
л,29330,0.051197011616642085
ь,10011,0.01747471132949894
я,10530,0.018380652312418724
ф,1247,0.002176702130445028
е,46568,0.08128682021697199
в,27170,0.04742662139871004
г,9736,0.016994684797123332
н,34964,0.06103144610174817
й,7131,0.012447524372256212
п,17755,0.03099225848119605
т,33334,0.05818619792803093
р,27246,0.04755928327674839
о,61112,0.10667411435104776
д,17369,0.03031847578484338
а,48228,0.08418443492149384
ц,2950,0.005149375529120155
с,30936,0.054000366565715635
у,16536,0.028864431779501994
щ,1904,0.0033235291550660255
ч,8458,0.01476387058484687
к,20669,0.03607879417335067
м,17585,0.030695514806636584
б,9725,0.016975483735828308
ш,4936,0.008616039868385453
х,5244,0.009153669584646133
ж,5812,0.010145142567880116
ы,11203,0.019555408153468845
з,9557,0.016682231163322483
э,1374,0.002398387110851218
ю,3095,0.005402480428009112
