Key,Value,Столбец1,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
о,0.113403647,14,,10 24,28 14,27 21 13,10 24,22 13 8 25,31 17,0 23,0 14,4 9 18,28 27 19 22,16 21,9 0,17 8,19 10,30 21,26 12,19 10,31 22,5 14
а,0.084574238,0,,,,,,,,,,,,,,,,,,,,
е,0.082070935,5,,10,14,13,10,8,17,18,0,4,14,16,27,3,5,16,12,5,17,0
и,0.065424097,,,к,о,н,к,и,с,т,а,д,о,р,ы,г,е,р,м,е,с,а
н,0.065382247,,,,,,,,,,,,,,,,,,,,,
т,0.057742518,,,,,,,,,,,,,,,,,,,,,
с,0.052741036,,,,,,,,,,,,,,,,,,,,,
л,0.050285561,,,,,,,,,,,,,,,,,,,,,
в,0.045657311,,,,,,,,,,,,,,,,,,,,,
р,0.04424552,,,,,,,,,,,,,,,,,,,,,
к,0.034532089,,,,,,,,,,,,,,,,,,,,,
д,0.030486321,,,,,,,,,,,,,,,,,,,,,
м,0.030195934,,,,,,,,,,,,,,,,,,,,,
у,0.027805369,,,,,,,,,,,,,,,,,,,,,
п,0.025325126,,,,,,,,,,,,,,,,,,,,,
я,0.022723604,,,,,,,,,,,,,,,,,,,,,
г,0.020157099,,,,,,,,,,,,,,,,,,,,,
ь,0.020028987,,,,,,,,,,,,,,,,,,,,,
ы,0.019006656,,,,,,,,,,,,,,,,,,,,,
б,0.017752869,,,,,,,,,,,,,,,,,,,,,
з,0.017382199,,,,,,,,,,,,,,,,,,,,,
ч,0.014206736,,,,,,,,,,,,,,,,,,,,,
й,0.011594965,,,,,,,,,,,,,,,,,,,,,
ж,0.010403526,,,,,,,,,,,,,,,,,,,,,
ш,0.009729659,,,,,,,,,,,,,,,,,,,,,
х,0.008619357,,,,,,,,,,,,,,,,,,,,,
ю,0.006568715,,,,,,,,,,,,,,,,,,,,,
ц,0.003534176,,,,,,,,,,,,,,,,,,,,,
э,0.003108845,,,,,,,,,,,,,,,,,,,,,
щ,0.002898741,,,,,,,,,,,,,,,,,,,,,
ф,0.001911427,,,,,,,,,,,,,,,,,,,,,
ъ,0.000447537,,,,,,,,,,,,,,,,,,,,,
ё,5.30E-05,,,,,,,,,,,,,,,,,,,,,
 ,1,,,,,,,,,,,,,,,,,,,,,
