Key,Value,Столбец1,,0,1,2,3,4,5,6,7
о,0.113403647,14,,18,18,18,19,18,18,0,22
а,0.084574238,0,,17,19,28,18,19,22,27,21
е,0.082070935,5,,22,13,29,0,23,27,17,28
и,0.065424097,,,,,10,22,0,14,16,14
н,0.065382247,,,,,27,27,26,,18,
т,0.057742518,,,,,,,,,22,
с,0.052741036,,,17,13,13,13.22,18,22.13,"17,13",14
л,0.050285561,,,,,,,,,,
в,0.045657311,,,,,,,,,,
р,0.04424552,,,,,,,,,,
к,0.034532089,,,,,,,,,,
д,0.030486321,,,,,,,,,,
м,0.030195934,,,,,,,,,,
у,0.027805369,,,,,,,,,,
п,0.025325126,,,,,,,,,,
я,0.022723604,,,,,,,,,,
г,0.020157099,,,,,,,,,,
ь,0.020028987,,,,,,,,,,
ы,0.019006656,,,,,,,,,,
б,0.017752869,,,,,,,,,,
з,0.017382199,,,,,,,,,,
ч,0.014206736,,,,,,,,,,
й,0.011594965,,,,,,,,,,
ж,0.010403526,,,,,,,,,,
ш,0.009729659,,,,,,,,,,
х,0.008619357,,,,,,,,,,
ю,0.006568715,,,,,,,,,,
ц,0.003534176,,,,,,,,,,
э,0.003108845,,,,,,,,,,
щ,0.002898741,,,,,,,,,,
ф,0.001911427,,,,,,,,,,
ъ,0.000447537,,,,,,,,,,
ё,5.30E-05,,,,,,,,,,
 ,1,,,,,,,,,,
