Key,Value
עמ,0.016627208
סע,0.013043493
םא,0.012826557
מג,0.011628284
אכ,0.010851073
םו,0.010839115
דמ,0.010717836
מם,0.010416346
מס,0.010184891
ךמ,0.010163539
םמ,0.010131084
ןמ,0.00978262
ום,0.009744186
נא,0.009686963
מע,0.009171953
גמ,0.008831176
כא,0.008672317
ךא,0.008659506
םט,0.008659506
ונ,0.008294814
כמ,0.008139372
מכ,0.008120582
נמ,0.007897668
אם,0.007768702
מנ,0.007655109
וכ,0.007595324
כט,0.007585075
ןנ,0.007128997
נו,0.007004301
אע,0.006862524
עא,0.006800176
מל,0.006720747
גא,0.006719039
עü,0.006540536
אך,0.006483313
אס,0.006392781
וס,0.006375699
חא,0.006362888
מה,0.006259544
נט,0.006157909
מד,0.006021256
טכ,0.006011861
ול,0.005799196
טם,0.005770157
אג,0.005637775
סך,0.005622401
עו,0.00554041
טס,0.005438774
גו,0.005342264
הו,0.005241482
מב,0.005232941
וע,0.005203049
טג,0.005194508
אח,0.0051928
הא,0.00489558
כו,0.004871666
למ,0.00486825
טע,0.00485373
לט,0.004717078
וד,0.004660709
המ,0.00446427
בû,0.00443694
גס,0.004428399
מי,0.004328472
זו,0.004303704
סו,0.004273811
קע,0.004252459
אל,0.00419609
עט,0.004132888
כü,0.004062853
טל,0.003930471
וה,0.003885205
גט,0.00385702
םם,0.00374599
אנ,0.003710973
קו,0.003702432
םÿ,0.003692183
סü,0.003651187
סÿ,0.003558947
םû,0.003558093
וג,0.003541011
לא,0.003487204
מן,0.003470123
לו,0.003462436
סמ,0.003412045
נף,0.003367633
אÿ,0.003343719
טו,0.003325783
מו,0.003324075
עג,0.003277955
ענ,0.003253187
טך,0.00322671
אה,0.003154113
ךט,0.003142156
ון,0.003132761
גû,0.003081517
םף,0.003075538
מך,0.003066143
לף,0.00300892
ץמ,0.002974757
הט,0.00296707
וי,0.002956821
טה,0.002949134
ןו,0.002901306
ךם,0.002834688
סכ,0.002802233
ûכ,0.002790276
מק,0.002780027
‎ע,0.002724512
במ,0.002709992
אן,0.002704014
רו,0.002645082
טח,0.0025964
טן,0.002526365
בו,0.002482807
קא,0.002449498
סג,0.002419606
ףה,0.002417043
מז,0.002409357
הנ,0.00240594
וב,0.002388005
ממ,0.002370923
סן,0.002345301
מט,0.002345301
ÿם,0.002320532
וו,0.00231797
üם,0.002277828
כס,0.002265017
ÿע,0.002230854
üס,0.002221459
ÿס,0.002187296
לם,0.002177901
ףס,0.002165944
רט,0.002155695
